experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
0,2-24-20-7-8-6-15-26-16-11-4,2-4-6-7-8-11-15-16-20-24-26,11,5138.155611554761,3.09711827955548,0.0,0.0
0,2-24-20-7-8-6-15-26-16-11-4,2-4-6-7-8-11-15-16-20-24-26,11,5138.155611554761,3.09711827955548,0.0,0.0
1,1-5-18-6-15-20-3-10-19-9-7-25-16-11,1-3-5-6-7-9-10-11-15-16-18-19-20-25,14,6934.686279248406,4.1800103504346575,0.0,0.0
2,1-4-5-27-16-15-12-19-6-8-25-11-20,1-4-5-6-8-11-12-15-16-19-20-25-27,13,6557.160312848184,3.95244959518708,0.0,0.0
3,15-13-27-11-28-14-0-21-23-10-17-9-7-16-4-6-20,0-4-6-7-9-10-11-13-14-15-16-17-20-21-23-27-28,17,7592.3086940371195,4.576404417852021,0.0,0.0
4,5-7-1-16-11-20-15-18-2-21-19-6,1-2-5-6-7-11-15-16-18-19-20-21,12,6184.345201206807,3.727728394730943,0.0,0.0
5,8-5-0-19-17-27-3-9-29-20-10-15-23-11-2-1-6-7-16,0-1-2-3-5-6-7-8-9-10-11-15-16-17-19-20-23-27-29,19,8804.474342709855,5.307059670859735,0.0,0.0
6,1-24-20-5-21-4-11-2-22-3-18-7-23-10-15-16-6,1-2-3-4-5-6-7-10-11-15-16-18-20-21-22-23-24,17,7892.151310328263,4.757140097755658,0.0,0.0
7,6-27-3-4-18-5-7-11-1-21-2-15-23-16-20,1-2-3-4-5-6-7-11-15-16-18-20-21-23-27,15,6964.635751562047,4.198062948521999,0.0,0.0
8,21-9-10-5-18-15-1-0-11-20-6-4-7-3-23-16,0-1-3-4-5-6-7-9-10-11-15-16-18-20-21-23,16,7503.0757804498,4.522617629614663,0.0,0.0
9,22-19-21-20-26-2-8-23-11-9-1-27-3-18-5-16-6-15,1-2-3-5-6-8-9-11-15-16-18-19-20-21-22-23-26-27,18,8345.320238126196,5.030296046332475,0.0,0.0
10,16-11-25-22-18-12-10-7-19-2-29-9-21-5-6-15-20,2-5-6-7-9-10-11-12-15-16-18-19-20-21-22-25-29,17,8173.509760526604,4.92673410484588,0.0,0.0
11,29-9-16-2-6-15-25-20-19-11,2-6-9-11-15-16-19-20-25-29,10,5225.5394287758845,3.149790490775448,0.0,0.0
12,26-12-6-19-24-13-22-21-2-10-9-16-15-11-20,2-6-9-10-11-12-13-15-16-19-20-21-22-24-26,15,7273.191651428974,4.384050721175965,0.0,0.0
13,1-22-10-8-3-9-7-19-29-23-21-11-16-18-6-5-2-12-15-20,1-2-3-5-6-7-8-9-10-11-12-15-16-18-19-20-21-22-23-29,20,9522.147223373708,5.739650266684971,0.0,0.0
14,3-17-10-16-27-11-19-18-21-5-2-25-20-6-15,2-3-5-6-10-11-15-16-17-18-19-20-21-25-27,15,7027.255899780989,4.235808400466121,0.0,0.0
15,27-4-15-18-9-0-17-19-6-21-24-10-11-7-3-20-23-16,0-3-4-6-7-9-10-11-15-16-17-18-19-20-21-23-24-27,18,7599.907438920501,4.58098470180198,0.0,0.0
16,12-6-2-19-16-23-11-29-5-28-9-21-20-15,2-5-6-9-11-12-15-16-19-20-21-23-28-29,14,6881.3978990765045,4.147889794189309,0.0,0.0
17,8-11-29-27-5-15-18-12-10-3-20-6-16-4,3-4-5-6-8-10-11-12-15-16-18-20-27-29,14,6458.552827936564,3.893012110784315,0.0,0.0
18,20-17-13-25-5-18-1-27-21-9-2-10-6-4-0-11-7-23-3-16-15,0-1-2-3-4-5-6-7-9-10-11-13-15-16-17-18-20-21-23-25-27,21,9549.465989535087,5.756117158007423,0.0,0.0
19,7-27-14-9-3-5-21-6-20-8-26-2-11-10-4-15-23-16,2-3-4-5-6-7-8-9-10-11-14-15-16-20-21-23-26-27,18,7906.976486532464,4.766076246773101,0.0,0.0
20,25-26-23-9-14-18-7-10-5-29-16-27-4-21-6-12-15-11-20,4-5-6-7-9-10-11-12-14-15-16-18-20-21-23-25-26-27-29,19,8451.59632383182,5.094355921626694,0.0,0.0
21,4-28-7-23-19-10-5-11-27-8-13-21-16-1-2-6-20-15,1-2-4-5-6-7-8-10-11-13-15-16-19-20-21-23-27-28,18,8906.187550337394,5.368369187042363,0.0,0.0
22,8-22-12-6-11-10-17-19-18-2-1-15-3-21-16-20,1-2-3-6-8-10-11-12-15-16-17-18-19-20-21-22,16,8036.181297463941,4.843956835060947,0.0,0.0
23,16-2-7-8-1-4-6-27-25-20-9-11-21-15,1-2-4-6-7-8-9-11-15-16-20-21-25-27,14,7057.690578595872,4.254153465741684,0.0,0.0
24,3-28-8-27-13-19-7-12-9-15-17-2-16-6-11-20,2-3-6-7-8-9-11-12-13-15-16-17-19-20-27-28,16,7265.111453622532,4.379180232576423,0.0,0.0
25,10-19-1-16-6-8-15-9-11-20,1-6-8-9-10-11-15-16-19-20,10,5774.140661719262,3.4804700254541343,0.0,0.0
26,6-27-24-26-29-14-3-20-12-22-4-16-25-9-11-2-21-15,2-3-4-6-9-11-12-14-15-16-20-21-22-24-25-26-27-29,18,7629.406987917316,4.598766100292757,0.0,0.0
27,17-8-12-10-2-20-1-15-4-22-11-29-6-23-0-3-7-16,0-1-2-3-4-6-7-8-10-11-12-15-16-17-20-22-23-29,18,8533.13235536714,5.143503271921529,0.0,0.0
28,20-27-23-12-10-6-4-21-13-15-11-2-29-0-1-16,0-1-2-4-6-10-11-12-13-15-16-20-21-23-27-29,16,7977.45423681662,4.808558013618803,0.0,0.0
29,28-21-8-25-1-22-27-16-4-9-11-15-6-20,1-4-6-8-9-11-15-16-20-21-22-25-27-28,14,7134.846870837724,4.3006608472128836,0.0,0.0
30,14-8-2-15-23-7-4-22-1-3-12-6-10-11-16-20,1-2-3-4-6-7-8-10-11-12-14-15-16-20-22-23,16,7610.529777568418,4.587387512788107,0.0,0.0
31,26-20-9-29-14-4-21-22-6-15-11-23-0-10-3-7-16,0-3-4-6-7-9-10-11-14-15-16-20-21-22-23-26-29,17,7421.070957872751,4.473187706853288,0.0,0.0
32,8-23-21-7-22-13-15-20-3-6-16-11-19,3-6-7-8-11-13-15-16-19-20-21-22-23,13,5993.097218925212,3.6124501379727363,0.0,0.0
33,18-27-13-1-14-23-5-16-12-9-6-2-19-25-15-20-11,1-2-5-6-9-11-12-13-14-15-16-18-19-20-23-25-27,17,7897.0795017436085,4.760110656234519,0.0,0.0
34,18-1-2-25-6-11-3-14-20-4-24-29-16-21-15,1-2-3-4-6-11-14-15-16-18-20-21-24-25-29,15,6825.907340875244,4.114441834426981,0.0,0.0
35,15-14-2-1-22-10-27-20-7-19-23-0-3-29-8-21-6-9-25-16-11,0-1-2-3-6-7-8-9-10-11-14-15-16-19-20-21-22-23-25-27-29,21,9488.903799913827,5.719612178651776,0.0,0.0
36,20-6-11-2-29-8-0-24-15-22-7-14-23-21-10-16-4,0-2-4-6-7-8-10-11-14-15-16-20-21-22-23-24-29,17,7441.059923867584,4.485236425625602,0.0,0.0
