image_id,geometry,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,cost,incidence_angle,image_id,area
0,"POLYGON ((3.31015122 6.54621693, 3.17542845 6.54004508, 3.17536215 6.40841281, 3.17536038 6.40759987, 3.17532234 6.4039687, 3.31030133 6.40906731, 3.31032639 6.41272067, 3.31032903 6.41354207, 3.31015122 6.54621693))",c52fe053-a930-4e0f-ad74-ae14b5ca957d,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2023-03-28T12:09:33.786228973Z', 'processingDate': '2022-03-11T12:20:03.585Z', 'azimuthAngle': 179.8637705741983, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '12a97be0-f4b0-46d4-8680-361e274eeda5', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_01307501804524', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 6.475093932684956, 'lon': 3.242825689001874}, 'processorName': 'MMCAT', 'workspaceName': 'public-pneo', 'correlationId': '4c86dbbd-89d5-4f76-cfcc-155f1e433ee0', 'publicationDate': '2023-03-28T12:09:33.786228973Z', 'illuminationElevationAngle': 64.29793934994939, 'productType': 'mono', 'expirationDate': '2032-03-11T00:00:00+01:00', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -13.322885531268023, 'illuminationAzimuthAngle': 114.8531452250173, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 10.792575196400382, 'incidenceAngle': 16.636527797715704, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",c52fe053-a930-4e0f-ad74-ae14b5ca957d,airbus,2022-03-11T10:24:46.239Z,,,22.0,0.3,HOURS,405000,16.636527797715704,0,225.35287819502196
1,"POLYGON ((3.54096825 6.66242336, 3.40745808 6.65697591, 3.40783205 6.51999229, 3.40783194 6.51914535, 3.4074568 6.40402185, 3.54102282 6.4080955, 3.54137961 6.52386048, 3.54137957 6.52471212, 3.54096825 6.66242336))",8db0b4ad-4ef3-41bd-a840-48e18e87ffc6,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-12-27T12:22:33.09705927Z', 'processingDate': '2022-12-27T11:42:01.044Z', 'azimuthAngle': 180.0030638382265, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '9710c727-7928-452c-bace-dd45a80cec54', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_02414905332543', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 6.53321590728419, 'lon': 3.4744182018484047}, 'processorName': 'MMCAT', 'workspaceName': 'public-pneo', 'correlationId': '4748022b-8ba4-4595-8d5c-cf7dfe964e6e', 'publicationDate': '2022-12-27T12:22:33.09705927Z', 'illuminationElevationAngle': 53.56120258285495, 'productType': 'mono', 'expirationDate': '2032-12-24T12:22:05.892026867Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -7.223183186113618, 'illuminationAzimuthAngle': 146.14055289225104, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 17.366090446874672, 'incidenceAngle': 18.439386481809958, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",8db0b4ad-4ef3-41bd-a840-48e18e87ffc6,airbus,2022-12-27T10:21:10.293Z,,,0.0,0.3,HOURS,712800,18.439386481809958,1,414.2973456431585
2,"POLYGON ((3.54967294 6.56127907, 3.39876065 6.53913518, 3.39928491 6.38564469, 3.39928365 6.38469604, 3.39867351 6.27261228, 3.54978571 6.29187648, 3.55033971 6.40519361, 3.55034042 6.40615271, 3.54967294 6.56127907))",b787babd-4ec3-4441-b7c0-f30f3281a13a,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-12-22T12:07:17.54478389Z', 'processingDate': '2022-12-22T11:58:11.464Z', 'azimuthAngle': 180.03268871951568, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'c4ac82fe-0ee8-406a-b8e4-631329acd0ad', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_02407505273699', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 6.416937615480072, 'lon': 3.474506964301948}, 'processorName': 'MMCAT', 'workspaceName': 'public-pneo', 'correlationId': '796b8a28-9adb-429d-bffc-c27779a1078c', 'publicationDate': '2022-12-22T12:07:17.54478389Z', 'illuminationElevationAngle': 54.564696986127224, 'productType': 'mono', 'expirationDate': '2032-12-19T12:07:05.497174739Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -21.47931582081183, 'illuminationAzimuthAngle': 147.98565677775474, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 24.50449343089104, 'incidenceAngle': 29.480945942722528, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",b787babd-4ec3-4441-b7c0-f30f3281a13a,airbus,2022-12-22T10:25:08.030Z,,,20.0,0.3,HOURS,471600,29.480945942722528,2,495.1167710140069
3,"POLYGON ((3.65926112 6.54733819, 3.52087455 6.5395771, 3.52127572 6.40704338, 3.52127312 6.40622406, 3.52055637 6.28589878, 3.65949219 6.29122953, 3.65994984 6.41270757, 3.65995062 6.41353468, 3.65926112 6.54733819))",5aace2d3-b528-426c-896e-8aace99b07f9,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-12-22T12:02:23.61485062Z', 'processingDate': '2022-12-22T11:56:02.71Z', 'azimuthAngle': 180.0926995285574, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '116d7f3c-4674-4f40-afeb-08be042aeae1', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_02407505273682', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 6.4166120090773955, 'lon': 3.590253495997756}, 'processorName': 'MMCAT', 'workspaceName': 'public-pneo', 'correlationId': '05574972-9d12-4946-8a1f-1175a32ce26c', 'publicationDate': '2022-12-22T12:02:23.61485062Z', 'illuminationElevationAngle': 54.57528781369827, 'productType': 'mono', 'expirationDate': '2032-12-19T12:02:04.872147469Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -16.902391145965826, 'illuminationAzimuthAngle': 148.01161977482914, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 9.849683644655686, 'incidenceAngle': 18.929489418452015, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",5aace2d3-b528-426c-896e-8aace99b07f9,airbus,2022-12-22T10:24:44.603Z,,,31.3,0.3,HOURS,46800,18.929489418452015,3,432.4041185314765
4,"POLYGON ((3.40834985 6.65743549, 3.40827639 6.53007547, 3.40827307 6.52928771, 3.40826188 6.52578604, 3.54088799 6.52444171, 3.54089256 6.52797178, 3.54089439 6.5287659, 3.54066032 6.65715596, 3.40834985 6.65743549))",19ef6a22-4aca-46d1-82be-dd4355d14e80,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-12-22T12:02:22.615305428Z', 'processingDate': '2022-12-22T11:44:02.397Z', 'azimuthAngle': 180.06142071569226, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '578449a6-1ff6-40a1-bab4-bcdec8454b09', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_02407505273695', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 6.590940004416951, 'lon': 3.4745781370983346}, 'processorName': 'MMCAT', 'workspaceName': 'public-pneo', 'correlationId': '05574972-9d12-4946-8a1f-1175a32ce26c', 'publicationDate': '2022-12-22T12:02:22.615305428Z', 'illuminationElevationAngle': 54.321830547804055, 'productType': 'mono', 'expirationDate': '2032-12-19T12:02:05.865818971Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -12.587549973425304, 'illuminationAzimuthAngle': 147.88437548553583, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -1.6643393435696838, 'incidenceAngle': 12.682393484610865, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",19ef6a22-4aca-46d1-82be-dd4355d14e80,airbus,2022-12-22T10:24:25.743Z,,,9.0,0.3,HOURS,369000,12.682393484610865,4,214.1449701358233
5,"POLYGON ((3.38058769 6.701029, 3.38102482 6.50981892, 3.57542288 6.49981203, 3.57577864 6.68954368, 3.38058769 6.701029))",69f02d9e-e048-4ac4-be18-e863cca6ee54,phr,phr,oneatlas,"{'commercialReference': 'SO22068389', 'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202212201013401_FR1_PX_E003N06_0615_01783', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-12-21T01:47:32.942636547Z', 'processingDate': '2022-12-21T00:32:50.865', 'parentIdentifier': 'DS_PHR1B_202212201014171_FR1_PX_E003N06_0615_01787', 'azimuthAngle': 179.9810268490215, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '044f7dad-8c88-4a37-a26e-04637ba7c239', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'customerReference': 'C301000', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 6.6004231910286535, 'lon': 3.478183167596756}, 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '65d35d28-36e1-432b-89e7-8a6a012cf78b', 'publicationDate': '2022-12-21T01:47:32.942636547Z', 'illuminationElevationAngle': 52.88208636792487, 'productType': 'bundle', 'expirationDate': '2023-12-21T01:47:32.942647589Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 13.63454248493386, 'illuminationAzimuthAngle': 144.5973317661513, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 13.63287981272665, 'incidenceAngle': 18.93274622440405, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202212201014171_FR1_PX_E003N06_0615_01787', 'organisationName': 'AIRBUS DS GEO'}",69f02d9e-e048-4ac4-be18-e863cca6ee54,airbus,2022-12-20T10:14:17.181Z,,,0.0,0.5,MINUTES,359870,18.93274622440405,5,453.74751795789183
6,"POLYGON ((3.47145762 6.63425416, 3.28117735 6.62866482, 3.28117953 6.44094192, 3.47137368 6.44590217, 3.47145762 6.63425416))",977c9821-fbfd-4582-9dc4-7fe6d3f2a7e6,phr,phr,oneatlas,"{'commercialReference': 'SO22068249', 'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202212191021343_FR1_PX_E003N06_0513_01708', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-12-20T06:22:11.934497489Z', 'processingDate': '2022-12-20T05:42:21.700', 'parentIdentifier': 'DS_PHR1A_202212191022113_FR1_PX_E003N06_0513_01712', 'azimuthAngle': 180.0129941888616, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'd02393c3-deb1-41d3-bb46-696104b984cb', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'customerReference': 'C301000', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 6.5376007484776455, 'lon': 3.376317484213748}, 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': 'c36981fe-f56b-4a02-9361-04e7151deb59', 'publicationDate': '2022-12-20T06:22:11.934497489Z', 'illuminationElevationAngle': 54.07846658951365, 'productType': 'bundle', 'expirationDate': '2023-12-20T06:22:11.934511401Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -4.795584226954291, 'illuminationAzimuthAngle': 147.0045999609521, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 18.67554370995882, 'incidenceAngle': 19.20126519241913, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1A_202212191022113_FR1_PX_E003N06_0513_01712', 'organisationName': 'AIRBUS DS GEO'}",977c9821-fbfd-4582-9dc4-7fe6d3f2a7e6,airbus,2022-12-19T10:22:11.306Z,,,0.0,0.5,MINUTES,437200,19.20126519241913,6,437.5266789404297
7,"POLYGON ((3.47070367 6.63390418, 3.39194597 6.63232563, 3.28048827 6.6283592, 3.28048534 6.44033161, 3.34023719 6.44255728, 3.47063869 6.44536216, 3.47070367 6.63390418))",9f292de0-32c5-4118-91f5-cca0a9651275,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202212191022113_NP1_PX_E003N06_0513_01712', 'acquisitionStation': 'FR1', 'archivingCenter': 'NP1', 'lastUpdateDate': '2022-12-19T13:22:17.376506381Z', 'processingDate': '2022-12-19T13:03:07.317Z', 'parentIdentifier': 'DS_PHR1A_202212191022113_NP1_PX_E003N06_0513_01712', 'azimuthAngle': 180.0107622546605, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '6fbb187b-526b-4cee-ba4c-18abfd55fc40', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 6.537120581022673, 'lon': 3.3755945091679953}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': '48d6b9aa-b4c4-4808-9288-fb6d12b8f07e', 'publicationDate': '2022-12-19T13:22:17.376506381Z', 'illuminationElevationAngle': 54.07813487289367, 'productType': 'mono', 'expirationDate': '2032-12-16T13:22:05.195868376Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -4.78905084487609, 'illuminationAzimuthAngle': 147.0035785611253, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 18.67568209984314, 'incidenceAngle': 19.19998608646436, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202212191022113_NP1_PX_E003N06_0513_01712', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",9f292de0-32c5-4118-91f5-cca0a9651275,airbus,2022-12-19T10:22:11.306Z,,,0.0,0.5,HOURS,437730,19.19998608646436,7,438.0655664772117
8,"POLYGON ((3.4084754 6.65943818, 3.40835841 6.53093552, 3.40835309 6.53014124, 3.40833007 6.52519145, 3.5407287 6.52195611, 3.54074292 6.52693545, 3.54074684 6.52773451, 3.54056716 6.65703552, 3.4084754 6.65943818))",8feb6eef-a886-4272-8c03-71cde1ef589e,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-12-09T12:03:04.332251826Z', 'processingDate': '2022-12-09T11:45:04.493Z', 'azimuthAngle': 180.11067588115066, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'dc7fc0c6-4d5d-4901-bb2b-ade5597fd936', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO4_02307505117912', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 6.590698326600798, 'lon': 3.4745384549513547}, 'processorName': 'MMCAT', 'workspaceName': 'public-pneo', 'correlationId': 'bbacde03-2a92-49dc-841a-bb2e2accc510', 'publicationDate': '2022-12-09T12:03:04.332251826Z', 'illuminationElevationAngle': 55.840419380612396, 'productType': 'mono', 'expirationDate': '2032-12-06T12:02:09.135236106Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -11.80383169943908, 'illuminationAzimuthAngle': 148.8361468868794, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -6.128385545893855, 'incidenceAngle': 13.122709238723507, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",8feb6eef-a886-4272-8c03-71cde1ef589e,airbus,2022-12-09T10:24:18.236Z,,,55.4,0.3,HOURS,376200,13.122709238723507,8,217.7985347265094
9,"POLYGON ((3.65990949 6.54892127, 3.520183 6.53953352, 3.5206169 6.40520719, 3.5206161 6.40437572, 3.51989957 6.28539812, 3.66017096 6.29230718, 3.66064005 6.41244766, 3.66063903 6.41328723, 3.65990949 6.54892127))",5287f011-37fc-4834-b739-5f7e36b5cd14,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-11-26T13:52:58.107028752Z', 'processingDate': '2022-11-26T12:04:02.086Z', 'azimuthAngle': 180.02374201756544, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'b3944b34-4b18-45f0-a1d9-00b4b6770e3a', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_02307504961056', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 6.417153138403571, 'lon': 3.590269806501169}, 'processorName': 'MMCAT', 'workspaceName': 'public-pneo', 'correlationId': '431b8c8c-fa10-4405-a7eb-e72236daf527', 'publicationDate': '2022-11-26T13:52:58.107028752Z', 'illuminationElevationAngle': 58.39259511663098, 'productType': 'mono', 'expirationDate': '2032-11-23T13:52:10.155590807Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -17.53640380842682, 'illuminationAzimuthAngle': 148.61743830866732, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 11.785818540665668, 'incidenceAngle': 20.252609597885677, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",5287f011-37fc-4834-b739-5f7e36b5cd14,airbus,2022-11-26T10:24:47.991Z,,,18.0,0.3,HOURS,48600,20.252609597885677,9,437.41218869910983
