image_id,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,image_id,geometry,area
0,c9e265c2-db1d-4c85-b977-dac4af71e9d3,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202105091723599_FR1_PX_W100N19_1208_00984', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2021-05-10T05:53:24Z', 'processingDate': '2021-05-09T18:53:08.735Z', 'parentIdentifier': 'DS_PHR1B_202105091723599_FR1_PX_W100N19_1208_00984', 'azimuthAngle': 180.0737951818558, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '4b6e8c13-97a1-48b3-998f-a88bdb84516f', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [-99.06247279608651, 19.303471077963817], 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'mmcat_aaa65b67-3d47-42f1-8e00-f15382d71541', 'publicationDate': '2021-05-09T18:55:52.881423333Z', 'productType': 'mono', 'illuminationElevationAngle': 73.63065299459775, 'expirationDate': '2031-05-08T05:50:13.863017559Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -11.41248631918031, 'illuminationAzimuthAngle': 92.95074591459236, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -0.8625417705293004, 'incidenceAngle': 11.44334821888574, 'archiveIdentifier': 'DS_PHR1B_202105091723599_FR1_PX_W100N19_1208_00984', 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",c9e265c2-db1d-4c85-b977-dac4af71e9d3,airbus,2021-05-09 17:23:59.931000+00:00,,,3.9,0.5,HOURS,0,"POLYGON ((-99.16066433 19.25488986, -99.09893077 19.25521772, -98.96428127 19.25404418, -98.96439419 19.35216666, -99.02636362 19.35285543, -99.16032047 19.35243142, -99.16066433 19.25488986))",223.27223813735242
1,f1dc1cc8-6691-49d8-acfe-fe12862d3380,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202102271719108_FR1_PX_W100N19_1211_01561', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2021-03-01T13:42:57Z', 'processingDate': '2021-03-01T13:06:04.954', 'parentIdentifier': 'DS_PHR1B_202102271719108_FR1_PX_W100N19_1211_01561', 'azimuthAngle': 179.9893437908968, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'f99d7236-1685-4888-8ab3-33858ef340e9', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': [-99.00544353585323, 19.45337378867983], 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '90814958-7de9-4054-a47b-c5dadd256b71', 'publicationDate': '2021-02-27T19:41:47.295932983Z', 'productType': 'bundle', 'illuminationElevationAngle': 54.81368985522707, 'expirationDate': '2031-02-25T19:40:40.863899531Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 2.776990024014566, 'illuminationAzimuthAngle': 139.0800811617953, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -24.69657352948142, 'incidenceAngle': 24.81710302339997, 'archiveIdentifier': 'DS_PHR1B_202102271719108_FR1_PX_W100N19_1211_01561', 'processingCenter': 'FCMUGC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",f1dc1cc8-6691-49d8-acfe-fe12862d3380,airbus,2021-02-27 17:19:10.806000+00:00,,,0.0,0.5,MINUTES,1,"POLYGON ((-99.10837965 19.54477274, -99.10862587 19.35930261, -98.9022612 19.3647062, -98.90237554 19.54742298, -99.10837965 19.54477274))",441.19563763310833
2,bf9c31f1-7103-41c5-91d0-edbe0cce9c2d,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202202071715579_FR1_PX_W100N19_0811_01804', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-02-22T07:18:45Z', 'processingDate': '2022-02-07T19:22:49.792Z', 'parentIdentifier': 'DS_PHR1B_202202071715579_FR1_PX_W100N19_0811_01804', 'azimuthAngle': 179.983344288947, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '087a98d2-8487-466b-abaa-4e5e0224ada1', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [-99.34078571314768, 19.45455603874619], 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'mmcat_b5765dd9ee5b0a62bc17ab25dccb9eb1', 'publicationDate': '2022-02-07T19:46:44.823033486Z', 'productType': 'mono', 'illuminationElevationAngle': 48.13261668685311, 'expirationDate': '2032-02-20T07:12:31.992035856Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 9.531311273384858, 'illuminationAzimuthAngle': 143.7686147813956, 'incidenceAngleAlongTrack': -2.417601443113854, 'incidenceAngle': 9.82232543928731, 'archiveIdentifier': 'DS_PHR1B_202202071715579_FR1_PX_W100N19_0811_01804', 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",bf9c31f1-7103-41c5-91d0-edbe0cce9c2d,airbus,2022-02-07 17:15:57.931000+00:00,,,43.111812104060164,0.5,HOURS,2,"POLYGON ((-99.43712388 19.36367673, -99.39479666 19.36458425, -99.24416757 19.36528882, -99.24416224 19.54500359, -99.32382808 19.54541811, -99.43725127 19.54435367, -99.43712237 19.5244935, -99.43675515 19.5067221, -99.4368203 19.47992982, -99.43731816 19.46196883, -99.43740919 19.3814785, -99.43712388 19.36367673))",404.4142774059492
3,8fb231cb-40f7-4321-8392-088056e98264,phr,phr,oneatlas,"{'commercialReference': 'SO22008782', 'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202202251726243_FR1_PX_W100N19_0907_01800', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-02-27T13:04:31.629652372Z', 'processingDate': '2022-02-27T11:45:11.054', 'parentIdentifier': 'DS_PHR1A_202202251727013_FR1_PX_W100N19_0907_01804', 'azimuthAngle': 179.9236217616958, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'e8ec9454-d816-453c-a13d-4c05483e1db6', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'customerReference': 'C301000', 'geometryCentroid': [-99.28770406605858, 19.290145521354088], 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '737e67a8-ee1b-4f22-9d8f-50ffbe0b2356', 'publicationDate': '2022-02-27T13:04:31.629652372Z', 'productType': 'bundle', 'illuminationElevationAngle': 55.23928025993955, 'expirationDate': '2023-02-27T13:04:31.629661221Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -15.74903447710876, 'illuminationAzimuthAngle': 142.0522876663769, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -9.734652263238923, 'incidenceAngle': 18.26770655721851, 'archiveIdentifier': 'DS_PHR1A_202202251727013_FR1_PX_W100N19_0907_01804', 'processingCenter': 'FCMUGC', 'organisationName': 'AIRBUS DS GEO'}",8fb231cb-40f7-4321-8392-088056e98264,airbus,2022-02-25 17:27:01.306000+00:00,,,0.68,0.5,MINUTES,3,"POLYGON ((-99.39146688 19.38902295, -99.39141168 19.20093397, -99.1857654 19.19124932, -99.18394125 19.37957004, -99.39146688 19.38902295))",452.47281780541437
4,fbee7222-b2f0-4be8-90b2-db44b7cb06c6,phr,phr,oneatlas,"{'commercialReference': 'SO22004275', 'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202202011712203_FR1_PX_W099N19_0306_03219', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-02-02T21:41:14.401160262Z', 'processingDate': '2022-02-02T21:03:51.236', 'parentIdentifier': 'DS_PHR1A_202202011712573_FR1_PX_W099N19_0306_03223', 'azimuthAngle': 179.9937689525178, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'e206db73-0d46-44cb-8c85-8d4aef8e4a92', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'customerReference': 'C301000', 'geometryCentroid': [-98.81293658217378, 19.209701569190862], 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '587befa8-cf30-412d-b8f8-ddcb1e8400cc', 'publicationDate': '2022-02-02T21:41:14.401160262Z', 'productType': 'bundle', 'illuminationElevationAngle': 46.93867208027478, 'expirationDate': '2023-02-02T21:41:14.401165629Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 9.087168855016944, 'illuminationAzimuthAngle': 145.3259772414555, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 17.37823078242394, 'incidenceAngle': 19.36485471155547, 'archiveIdentifier': 'DS_PHR1A_202202011712573_FR1_PX_W099N19_0306_03223', 'processingCenter': 'FCMUGC', 'organisationName': 'AIRBUS DS GEO'}",fbee7222-b2f0-4be8-90b2-db44b7cb06c6,airbus,2022-02-01 17:12:57.305000+00:00,,,0.0,0.5,MINUTES,4,"POLYGON ((-98.91498707 19.3912216, -98.91408646 19.03802833, -98.71296698 19.02825859, -98.71088609 19.37672553, -98.91498707 19.3912216))",827.5202987968725
5,0879ca08-06cf-475a-a88f-c206adca5ba5,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202011281720379_FR1_PX_W100N19_0815_01728', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2020-11-30T12:09:49Z', 'processingDate': '2020-11-30T11:05:22.718', 'parentIdentifier': 'DS_PHR1A_202011281720379_FR1_PX_W100N19_0815_01728', 'azimuthAngle': 180.0265706098797, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'd9e42c61-22b0-4813-9ce3-6f4d9928244d', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'DS_PHR1A_202011281720379_FR1_PX_W100N19_0815_01728', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': [-99.33994193871295, 19.615636306662413], 'processorName': 'DRS-MM V2.6vV2.6', 'workspaceName': 'public', 'correlationId': '09638998-6c46-46ad-a3ac-944e0da7359f', 'publicationDate': '2020-11-28T20:02:31.053866588Z', 'productType': 'bundle', 'illuminationElevationAngle': 46.01902721850671, 'expirationDate': '2021-11-28T20:02:31.053871509Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -3.601902869295326, 'illuminationAzimuthAngle': 157.7957560788877, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 17.71779585651889, 'incidenceAngle': 18.03655893231689, 'archiveIdentifier': 'DS_PHR1A_202011281720379_FR1_PX_W100N19_0815_01728', 'processingCenter': 'FCMUGC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",0879ca08-06cf-475a-a88f-c206adca5ba5,airbus,2020-11-28 17:20:37.930000+00:00,,,0.055693,0.5,MINUTES,5,"POLYGON ((-99.43911234 19.70760939, -99.43934922 19.51903383, -99.24068229 19.52516442, -99.24053465 19.71222294, -99.43911234 19.70760939))",433.17750636490024
6,61772dba-186d-4b5c-896f-aa23f5aa32a8,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202010141716120_FR1_PX_W100N19_1213_03374', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2020-10-15T23:22:43Z', 'processingDate': '2020-10-15T22:06:33.481', 'parentIdentifier': 'DS_PHR1A_202010141716120_FR1_PX_W100N19_1213_03374', 'azimuthAngle': 180.0085408560653, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '091069a2-3cea-47e6-8570-fdf4df1d880a', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'DS_PHR1A_202010141716120_FR1_PX_W100N19_1213_03374', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': [-99.00441178850421, 19.534866294936876], 'processorName': 'DRS-MM V2.6vV2.6', 'workspaceName': 'public', 'correlationId': '4f1d39a5-bb91-47f6-848a-1a1feb284c1b', 'publicationDate': '2020-10-15T07:39:16.740529702Z', 'productType': 'bundle', 'illuminationElevationAngle': 57.7230203483551, 'expirationDate': '2021-10-15T07:39:16.74053866Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 8.085062326819854, 'illuminationAzimuthAngle': 148.3539465661843, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -10.11418923528537, 'incidenceAngle': 12.84579594453684, 'archiveIdentifier': 'DS_PHR1A_202010141716120_FR1_PX_W100N19_1213_03374', 'processingCenter': 'FCMUGC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",61772dba-186d-4b5c-896f-aa23f5aa32a8,airbus,2020-10-14 17:16:12.056000+00:00,,,0.265123,0.5,MINUTES,6,"POLYGON ((-99.10240022 19.70645076, -99.10184552 19.35822336, -98.90666788 19.36388435, -98.9064153 19.71043703, -99.10240022 19.70645076))",789.3644154090379
7,c59e213b-f90a-470c-aa8b-ee8c88195574,phr,phr,oneatlas,"{'commercialReference': 'SO22004275', 'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202202011711418_FR1_PX_W099N19_0104_04938', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-02-02T23:48:57.984678657Z', 'processingDate': '2022-02-02T21:57:47.324', 'parentIdentifier': 'DS_PHR1A_202202011712188_FR1_PX_W099N19_0104_04942', 'azimuthAngle': 179.9734045382503, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'a494a506-6571-4979-8b38-bc10e03ace98', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'customerReference': 'C301000', 'geometryCentroid': [-98.97148346134293, 19.125855113399528], 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '9c6d8390-b3b5-4269-b056-b700c733a129', 'publicationDate': '2022-02-02T23:48:57.984678657Z', 'productType': 'bundle', 'illuminationElevationAngle': 46.78200788921334, 'expirationDate': '2023-02-02T23:48:57.984682986Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 15.09478026599839, 'illuminationAzimuthAngle': 144.8072205767352, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -5.65506765260306, 'incidenceAngle': 16.03068588047163, 'archiveIdentifier': 'DS_PHR1A_202202011712188_FR1_PX_W099N19_0104_04942', 'processingCenter': 'FCMUGC', 'organisationName': 'AIRBUS DS GEO'}",c59e213b-f90a-470c-aa8b-ee8c88195574,airbus,2022-02-01 17:12:18.805000+00:00,,,0.0,0.5,MINUTES,7,"POLYGON ((-99.0727827 19.38153312, -99.0742311 18.86741863, -98.87175775 18.87444033, -98.86873582 19.38450428, -99.0727827 19.38153312))",1212.0961388959408
8,81f8ba79-b1f0-4c59-80c5-cc3910740c1d,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202006261712471_FR1_PX_W100N19_1107_02543', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2020-07-09T15:43:29.717878966Z', 'processingDate': '2020-06-26T20:09:56.734Z', 'parentIdentifier': 'DS_PHR1B_202006261712471_FR1_PX_W100N19_1107_02543', 'azimuthAngle': 179.9791156285529, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'acb31d28-10c0-47b5-be69-1548599d962e', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'DS_PHR1B_202006261712471_FR1_PX_W100N19_1107_02543', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [-99.13094371332647, 19.250843219711587], 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'mmcat_b1511ce5-df88-42cf-935e-701ae627448a', 'publicationDate': '2020-07-09T15:43:29.717878966Z', 'productType': 'mono', 'illuminationElevationAngle': 69.1960489320899, 'expirationDate': '2021-07-09T15:43:29.717882878Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 13.33277659902587, 'illuminationAzimuthAngle': 74.53049653414627, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 13.94112756951819, 'incidenceAngle': 18.94233346611131, 'archiveIdentifier': 'DS_PHR1B_202006261712471_FR1_PX_W100N19_1107_02543', 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",81f8ba79-b1f0-4c59-80c5-cc3910740c1d,airbus,2020-06-26 17:12:47.181000+00:00,,,85.7,0.7,HOURS,8,"POLYGON ((-99.2314701 19.11828081, -99.1871737 19.11660159, -99.06718745 19.11076676, -99.02763757 19.10764394, -99.02773518 19.12338445, -99.0292387 19.17229218, -99.02976213 19.21073521, -99.0294541 19.22934493, -99.02994003 19.25830365, -99.02950965 19.3814723, -99.04401734 19.38249332, -99.14409232 19.38872211, -99.2336562 19.39280468, -99.23356785 19.32918673, -99.23295187 19.27146377, -99.23251122 19.26154226, -99.23204063 19.23259994, -99.23118965 19.19382565, -99.23092221 19.15559878, -99.2314701 19.11828081))",647.1845881738169
9,47efa857-39a9-456c-917c-db7598406b10,phr,phr,oneatlas,"{'commercialReference': 'SO22002841', 'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202201251715315_FR1_PX_W099N19_0104_04974', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-01-27T08:14:38.765375146Z', 'processingDate': '2022-01-26T21:34:19.089', 'parentIdentifier': 'DS_PHR1A_202201251716085_FR1_PX_W099N19_0104_04978', 'azimuthAngle': 180.0152705211365, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '41c9ae9b-2c6f-4794-9c88-a3f401e5cd67', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'customerReference': 'C301000', 'geometryCentroid': [-98.9716472679732, 19.128343537862445], 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '19259387-04ea-4d13-b229-8400f1e72cdf', 'publicationDate': '2022-01-27T08:14:38.765375146Z', 'productType': 'bundle', 'illuminationElevationAngle': 45.89702472144498, 'expirationDate': '2023-01-27T08:14:38.76538129Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 6.607760045495676, 'illuminationAzimuthAngle': 147.8188240358993, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -7.498500281291015, 'incidenceAngle': 9.945215497185869, 'archiveIdentifier': 'DS_PHR1A_202201251716085_FR1_PX_W099N19_0104_04978', 'processingCenter': 'FCMUGC', 'organisationName': 'AIRBUS DS GEO'}",47efa857-39a9-456c-917c-db7598406b10,airbus,2022-01-25 17:16:08.556000+00:00,,,15.67,0.5,MINUTES,9,"POLYGON ((-99.0679898 19.38136301, -99.06850967 18.8736189, -98.87606105 18.87753974, -98.87478486 19.38327955, -99.0679898 19.38136301))",1137.9505656916251
