image_id,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,cost,incidence_angle,image_id,area,geometry,local_image_id
167,4d1f8144-9761-4576-9ac6-bfe4013064ce,pneo,pneo,oneatlas,"{'commercialReference': '000020538', 'qualified': False, 'lastUpdateDate': '2022-06-28T14:55:57Z', 'processingDate': '2022-05-13T01:40:38.634Z', 'azimuthAngle': 182.37428124593896, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'e4f5a880-9bc0-4eb5-827d-7387197a741d', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_01133101482018', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_RWcities_6', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 19.35870144850256, 'lon': -99.08188149159976}, 'workspaceName': 'public-pneo', 'correlationId': 'PWOI_000020538_2_1_I_1', 'processorName': 'SPICYv1.1.14', 'publicationDate': '2022-05-13T01:56:45.277737235Z', 'productType': 'bundle', 'illuminationElevationAngle': 47.39355007950553, 'expirationDate': '2023-06-28T14:55:57Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -0.8215764104155844, 'illuminationAzimuthAngle': 145.8445677646194, 'format': 'SAFIR', 'internalLine': '2_1', 'incidenceAngleAlongTrack': 18.503485387597262, 'internalReference': 'SAL22016905', 'incidenceAngle': 18.516714442917415, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",4d1f8144-9761-4576-9ac6-bfe4013064ce,airbus,2022-02-04 17:16:37.951000+00:00,,,0.0,0.32,MINUTES,680094,18.516714442917415,0,405.1329261897611,"POLYGON ((-99.15156066 19.48334212, -99.15139479 19.23310653, -99.01242402 19.23394706, -99.01220232 19.48433437, -99.15156066 19.48334212))",167
60,0fe41e11-3634-4333-aadf-8b2ca951be45,phr,phr,oneatlas,"{'commercialReference': 'SO22059350', 'qualified': False, 'acquisitionStation': 'SV1', 'sourceIdentifier': 'DS_PHR1A_202210121715544_FR1_PX_W100N19_0909_00783', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-10-13T22:33:45.364049432Z', 'processingDate': '2022-10-13T21:29:02.008', 'parentIdentifier': 'DS_PHR1A_202210121716314_FR1_PX_W100N19_0909_00787', 'azimuthAngle': 180.0184079697007, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'c6f9459e-c83f-4700-8d32-aab645ba7e05', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'customerReference': 'C301000', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 19.342369231271476, 'lon': -99.30490666635065}, 'workspaceName': 'public', 'correlationId': '1894782f-3887-4bc4-9257-e18987f9a479', 'processorName': 'DRS-MM V2.9vV2.9', 'publicationDate': '2022-10-13T22:33:45.364049432Z', 'productType': 'bundle', 'illuminationElevationAngle': 58.44639181365886, 'expirationDate': '2023-10-13T22:33:45.36406142Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 7.981925427671612, 'illuminationAzimuthAngle': 146.579598630042, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 2.457418960200181, 'incidenceAngle': 8.342383883955035, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1A_202210121716314_FR1_PX_W100N19_0909_00787', 'organisationName': 'AIRBUS DS GEO'}",0fe41e11-3634-4333-aadf-8b2ca951be45,airbus,2022-10-12 17:16:31.430000+00:00,,,1.17,0.5,MINUTES,91620,8.342383883955035,1,171.51234759779024,"POLYGON ((-99.40072955 19.38126492, -99.40063174 19.30416147, -99.20911479 19.30342965, -99.20908378 19.38026268, -99.40072955 19.38126492))",60
159,a0770003-0c80-41db-995b-87488b563743,pneo,pneo,oneatlas,"{'commercialReference': '000023431', 'qualified': False, 'lastUpdateDate': '2022-06-27T19:37:29Z', 'processingDate': '2022-06-03T03:06:44.413Z', 'azimuthAngle': 176.5040753780927, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'c35e8bdb-e05d-4988-abb1-2fb95d49c19a', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_01533102463542', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_RWcities_18', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 19.475122739055852, 'lon': -98.85185994029834}, 'workspaceName': 'public-pneo', 'correlationId': 'PWOI_000023431_8_1_I_1', 'processorName': 'SPICYv1.1.14', 'publicationDate': '2022-06-03T03:51:18.000836353Z', 'productType': 'bundle', 'illuminationElevationAngle': 72.20279458564497, 'expirationDate': '2023-06-27T19:37:29Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': 0.24516084636194027, 'illuminationAzimuthAngle': 86.58078789527212, 'format': 'SAFIR', 'internalLine': '8_1', 'incidenceAngleAlongTrack': 4.1174419879555915, 'internalReference': 'SAL22019182', 'incidenceAngle': 4.124414350785743, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",a0770003-0c80-41db-995b-87488b563743,airbus,2022-05-19 17:16:10.124000+00:00,,,0.0,0.3,MINUTES,455202,4.124414350785743,2,1103.9438900636096,"POLYGON ((-98.91854015 19.83195165, -98.91831187 19.11881283, -98.78562311 19.11788512, -98.78517973 19.83286182, -98.91854015 19.83195165))",159
1,5ce9c814-948d-48dc-b0d9-68b423f03649,pneo,pneo,oneatlas,"{'commercialReference': '000065676', 'qualified': False, 'lastUpdateDate': '2023-01-15T18:18:02Z', 'processingDate': '2023-01-15T16:48:03.493Z', 'azimuthAngle': 191.25366962741364, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'b93b7f43-6f8a-4f01-9d0f-8022b9b4c5bc', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_02333105168986', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_World_71', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 19.12767874103785, 'lon': -98.85429881345121}, 'workspaceName': 'public-pneo', 'correlationId': 'PWOI_000065676_9_1_I_1', 'processorName': 'SPICYv1.2.7', 'publicationDate': '2023-01-15T17:51:56.511354335Z', 'productType': 'bundle', 'illuminationElevationAngle': 44.26060260714009, 'expirationDate': '2024-01-15T18:18:02Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -4.254552262661134, 'illuminationAzimuthAngle': 156.53872597040305, 'format': 'SAFIR', 'internalLine': '9_1', 'incidenceAngleAlongTrack': 18.708997841263614, 'internalReference': 'SAL23056045', 'incidenceAngle': 19.045653803860773, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",5ce9c814-948d-48dc-b0d9-68b423f03649,airbus,2022-12-13 17:16:36.947000+00:00,,,0.0,0.32,MINUTES,492786,19.045653803860773,3,1539.7037753706763,"POLYGON ((-98.78460927 19.60258123, -98.92455953 19.5984672, -98.92341048 18.65365805, -98.7840381 18.65416326, -98.78460927 19.60258123))",1
231,948e9d19-c0d6-442c-b717-56eae5c427e6,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2021-10-30T13:32:16Z', 'processingDate': '2021-10-29T18:51:02.471Z', 'azimuthAngle': 179.3620681438336, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'a656ac52-eb07-41ca-ab7b-1908cbd2b120', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_00803500673630', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [-99.10426006544553, 19.41023428556981], 'workspaceName': 'public-pneo', 'correlationId': 'mmcat_27427dd43d93b27f58aaf772c731efea', 'processorName': 'MMCAT', 'publicationDate': '2021-10-29T18:52:32.068292579Z', 'productType': 'mono', 'illuminationElevationAngle': 55.465738489838046, 'expirationDate': '2031-10-28T13:31:03.654889536Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -32.98885057494422, 'illuminationAzimuthAngle': 158.58893423518143, 'incidenceAngleAlongTrack': 1.6236631962215204, 'incidenceAngle': 33.00766907526621, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",948e9d19-c0d6-442c-b717-56eae5c427e6,airbus,2021-10-29 17:31:10.534000+00:00,,,11.0,0.3,HOURS,768600,33.00766907526621,4,427.86109260871586,"POLYGON ((-99.19634374 19.50639442, -99.19659868 19.36203596, -99.19661124 19.36114269, -99.19757354 19.30949115, -99.01175406 19.31063747, -99.01096868 19.36319921, -99.01094659 19.36410882, -99.01175905 19.5109714, -99.19634374 19.50639442))",231
105,b4925f47-8d37-42de-a0c6-cf4454dfa87c,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-08-15T14:21:08.744009148Z', 'processingDate': '2022-07-31T19:28:03.284Z', 'azimuthAngle': 180.58760658701073, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'ad7c87d6-9ed2-4307-b313-64ad42ed89ce', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_01825703394819', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 19.53353795425252, 'lon': -99.19751762137723}, 'workspaceName': 'public-pneo', 'correlationId': 'b030d915-570f-4104-95c8-f03c4dec31b0', 'processorName': 'MMCAT', 'publicationDate': '2022-08-15T14:21:08.744009148Z', 'productType': 'mono', 'illuminationElevationAngle': 70.43392024798918, 'expirationDate': '2032-08-12T10:22:07.361140632Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -7.823872435766201, 'illuminationAzimuthAngle': 88.30995736321209, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 12.035931070048841, 'incidenceAngle': 14.015031588714367, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",b4925f47-8d37-42de-a0c6-cf4454dfa87c,airbus,2022-07-31 17:20:09.741000+00:00,,,14.0,0.3,HOURS,250200,14.015031588714367,5,214.75138169611805,"POLYGON ((-99.26634304 19.59909022, -99.26633558 19.46899793, -99.26636212 19.46815312, -99.26639132 19.46454643, -99.12865973 19.4680292, -99.12864677 19.47163155, -99.12864392 19.47244237, -99.12924834 19.60252304, -99.26634304 19.59909022))",105
0,77ae0332-7986-44e8-80aa-8eb6679f5e95,phr,phr,oneatlas,"{'qualified': False, 'acquisitionStation': 'SV1', 'sourceIdentifier': 'DS_PHR1B_202202141712123_FR1_PX_W100N19_0907_01804', 'archivingCenter': 'FR1', 'lastUpdateDate': '2023-02-02T15:37:12.329686952Z', 'processingDate': '2022-02-14T21:15:44.848Z', 'parentIdentifier': 'DS_PHR1B_202202141712123_FR1_PX_W100N19_0907_01804', 'azimuthAngle': 179.9777891791835, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '9de7fbd5-8748-44e6-b4cc-f4a448726524', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 19.29065980907662, 'lon': -99.28910945733529}, 'workspaceName': 'public', 'correlationId': '29df3dae-e476-4a7b-cab6-2f9cc84320bc', 'processorName': 'MMCAT', 'publicationDate': '2023-02-02T15:37:12.329686952Z', 'productType': 'mono', 'illuminationElevationAngle': 49.70374916330791, 'expirationDate': '2032-02-14T00:00:00+01:00', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 16.90581254892555, 'illuminationAzimuthAngle': 140.73769870498, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 0.2192100846616685, 'incidenceAngle': 16.90707554235967, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202202141712123_FR1_PX_W100N19_0907_01804', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",77ae0332-7986-44e8-80aa-8eb6679f5e95,airbus,2022-02-14 17:12:12.305000+00:00,,,27.2,0.5,HOURS,191110,16.90707554235967,6,437.954698496068,"POLYGON ((-99.25182584 19.38346535, -99.39135211 19.38341913, -99.39142198 19.3629712, -99.39122077 19.34461405, -99.39145859 19.31708816, -99.39123235 19.28954988, -99.39163087 19.27120157, -99.39109868 19.19783192, -99.32473639 19.1986547, -99.18658804 19.19855267, -99.1868015 19.21880622, -99.18740422 19.24608738, -99.1881671 19.29158906, -99.18796601 19.38258228, -99.25182584 19.38346535))",0
319,c9e265c2-db1d-4c85-b977-dac4af71e9d3,phr,phr,oneatlas,"{'qualified': False, 'acquisitionStation': 'SV1', 'sourceIdentifier': 'DS_PHR1B_202105091723599_FR1_PX_W100N19_1208_00984', 'archivingCenter': 'FR1', 'lastUpdateDate': '2021-05-10T05:53:24Z', 'processingDate': '2021-05-09T18:53:08.735Z', 'parentIdentifier': 'DS_PHR1B_202105091723599_FR1_PX_W100N19_1208_00984', 'azimuthAngle': 180.0737951818558, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '4b6e8c13-97a1-48b3-998f-a88bdb84516f', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [-99.06247279608651, 19.303471077963817], 'workspaceName': 'public', 'correlationId': 'mmcat_aaa65b67-3d47-42f1-8e00-f15382d71541', 'processorName': 'MMCAT', 'publicationDate': '2021-05-09T18:55:52.881423333Z', 'productType': 'mono', 'illuminationElevationAngle': 73.63065299459775, 'expirationDate': '2031-05-08T05:50:13.863017559Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -11.41248631918031, 'illuminationAzimuthAngle': 92.95074591459236, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -0.8625417705293004, 'incidenceAngle': 11.44334821888574, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202105091723599_FR1_PX_W100N19_1208_00984', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",c9e265c2-db1d-4c85-b977-dac4af71e9d3,airbus,2021-05-09 17:23:59.931000+00:00,,,3.9,0.5,HOURS,223090,11.44334821888574,7,223.27223813735242,"POLYGON ((-99.16066433 19.25488986, -99.09893077 19.25521772, -98.96428127 19.25404418, -98.96439419 19.35216666, -99.02636362 19.35285543, -99.16032047 19.35243142, -99.16066433 19.25488986))",319
110,1a075b83-0f41-4cbf-bd9b-2f49fc712070,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-08-12T08:30:26.31140192Z', 'processingDate': '2022-07-28T20:49:02.64Z', 'azimuthAngle': 180.09415149460014, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'fc0e4c5a-e982-4028-8b08-7c20692629b4', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO4_01802003354648', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 19.53345223575451, 'lon': -98.96586686477958}, 'workspaceName': 'public-pneo', 'correlationId': 'a8e3cb89-fbf8-4c67-a706-4b5d03634552', 'processorName': 'MMCAT', 'publicationDate': '2022-08-12T08:30:26.31140192Z', 'productType': 'mono', 'illuminationElevationAngle': 68.79122113442101, 'expirationDate': '2032-08-09T07:22:15.959423236Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': 15.581787130168719, 'illuminationAzimuthAngle': 85.98690028671518, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -13.650120047419117, 'incidenceAngle': 19.81131773980733, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",1a075b83-0f41-4cbf-bd9b-2f49fc712070,airbus,2022-07-28 17:12:02.618000+00:00,,,31.0,0.3,HOURS,271800,19.81131773980733,8,235.4603900092598,"POLYGON ((-99.03855182 19.59941827, -99.03842647 19.46402592, -99.03842874 19.46318546, -99.03841543 19.45947136, -98.89346103 19.46813005, -98.89346269 19.47182753, -98.89346388 19.47265911, -98.89318191 19.60742664, -99.03855182 19.59941827))",110
196,c59e213b-f90a-470c-aa8b-ee8c88195574,phr,phr,oneatlas,"{'commercialReference': 'SO22004275', 'qualified': False, 'acquisitionStation': 'SV1', 'sourceIdentifier': 'DS_PHR1A_202202011711418_FR1_PX_W099N19_0104_04938', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-02-02T23:48:57.984678657Z', 'processingDate': '2022-02-02T21:57:47.324', 'parentIdentifier': 'DS_PHR1A_202202011712188_FR1_PX_W099N19_0104_04942', 'azimuthAngle': 179.9734045382503, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'a494a506-6571-4979-8b38-bc10e03ace98', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'customerReference': 'C301000', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': [-98.97148346134293, 19.125855113399528], 'workspaceName': 'public', 'correlationId': '9c6d8390-b3b5-4269-b056-b700c733a129', 'processorName': 'DRS-MM V2.9vV2.9', 'publicationDate': '2022-02-02T23:48:57.984678657Z', 'productType': 'bundle', 'illuminationElevationAngle': 46.78200788921334, 'expirationDate': '2023-02-02T23:48:57.984682986Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 15.09478026599839, 'illuminationAzimuthAngle': 144.8072205767352, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -5.65506765260306, 'incidenceAngle': 16.03068588047163, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1A_202202011712188_FR1_PX_W099N19_0104_04942', 'organisationName': 'AIRBUS DS GEO'}",c59e213b-f90a-470c-aa8b-ee8c88195574,airbus,2022-02-01 17:12:18.805000+00:00,,,0.0,0.5,MINUTES,314640,16.03068588047163,9,1212.0961388959408,"POLYGON ((-99.0727827 19.38153312, -99.0742311 18.86741863, -98.87175775 18.87444033, -98.86873582 19.38450428, -99.0727827 19.38153312))",196
