experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
0,0-27-25-26-11-28-17-9-19-20,0-9-11-17-19-20-25-26-27-28,10,17419.700877975098,3.5309290805957336,0.0,0.0
0,0-27-25-26-11-28-17-9-19-20,0-9-11-17-19-20-25-26-27-28,10,17419.700877975098,3.5309290805957336,0.0,0.0
1,7-24-8-3-2-25-28-18-20-17-16-22-26-19,2-3-7-8-16-17-18-19-20-22-24-25-26-28,14,22535.16015322072,4.567819670284639,0.0,0.0
2,28-1-15-25-3-20-24-10-5-9-17-22-19-16-26,1-3-5-9-10-15-16-17-19-20-22-24-25-26-28,15,24668.729191711172,5.0002886900592385,0.0,0.0
3,26-0-2-27-16-12-8-4-13-19-29-25-24-20,0-2-4-8-12-13-16-19-20-24-25-26-27-29,14,22501.44723174886,4.560986146813101,0.0,0.0
4,12-3-24-0-16-21-13-19-29-8-25-20-26,0-3-8-12-13-16-19-20-21-24-25-26-29,13,22288.815762031805,4.517886288489871,0.0,0.0
5,22-10-21-4-6-25-17-9-8-26-28-24-15-20-19,4-6-8-9-10-15-17-19-20-21-22-24-25-26-28,15,24190.65143349211,4.903383543920016,0.0,0.0
6,7-14-24-23-3-16-26-13-21-22-17-4-2-1-6-25-19-8-20,1-2-3-4-6-7-8-13-14-16-17-19-20-21-22-23-24-25-26,19,26985.936458181677,5.469980711768599,0.0,0.0
7,20-19-29-3-10-26,3-10-19-20-26-29,6,15449.526636853541,3.1315797708373574,0.0,0.0
8,25-0-19-9-20-16-26,0-9-16-19-20-25-26,7,15436.619390602571,3.128963504837315,0.0,0.0
9,16-25-18-2-26-13-20-19,2-13-16-18-19-20-25-26,8,15481.501813582485,3.138061057867502,0.0,0.0
10,20-6-10-13-16-5-28-22-26-19,5-6-10-13-16-19-20-22-26-28,10,18040.692602703424,3.6568025244058333,0.0,0.0
11,29-4-17-16-22-28-1-20-26-27-19,1-4-16-17-19-20-22-26-27-28-29,11,20089.40215611245,4.072070742298855,0.0,0.0
12,10-20-26-5-17-28-24-22-19,5-10-17-19-20-22-24-26-28,9,16786.71785039998,3.4026250301849483,0.0,0.0
13,23-2-21-22-19-18-0-11-3-4-6-8-24-25-20-16-26,0-2-3-4-6-8-11-16-18-19-20-21-22-23-24-25-26,17,25251.772755068996,5.118470138037902,0.0,0.0
14,1-28-18-4-26-0-5-25-10-2-7-19-20,0-1-2-4-5-7-10-18-19-20-25-26-28,13,19421.44419214634,3.9366773612009354,0.0,0.0
15,17-25-19-15-1-29-14-6-2-3-20-16-26,1-2-3-6-14-15-16-17-19-20-25-26-29,13,22148.70359751347,4.489485908959329,0.0,0.0
16,5-18-22-6-24-25-8-2-17-20-29-28-9-19-16-26,2-5-6-8-9-16-17-18-19-20-22-24-25-26-28-29,16,24487.28581281197,4.963510578453041,0.0,0.0
17,1-15-11-13-12-19-7-20-16-26,1-7-11-12-13-15-16-19-20-26,10,18182.95732220351,3.6856392213585796,0.0,0.0
18,21-16-12-28-20-26-17-27-19,12-16-17-19-20-21-26-27-28,9,18089.726513970672,3.6667415735572337,0.0,0.0
19,28-11-6-1-5-4-29-8-26-3-17-24-25-20-19,1-3-4-5-6-8-11-17-19-20-24-25-26-28-29,15,22924.44773915571,4.646727274239578,0.0,0.0
