image_id,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,cost,image_id,area,local_image_id,incidence_angle,geometry
0,4f07e1f7-23fc-4da4-8307-876f8afa79a9,phr,phr,oneatlas,"{'commercialReference': 'SO22025235', 'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202205181102096_FR1_PX_E002N49_0502_02085', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-05-19T05:37:17.052747045Z', 'processingDate': '2022-05-19T04:16:04.230', 'parentIdentifier': 'DS_PHR1B_202205181102466_FR1_PX_E002N49_0502_02089', 'azimuthAngle': 180.0172424208134, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '9bd60a59-ede6-4483-81af-2d81ab177a0f', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'customerReference': 'C301000', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 49.05944257691427, 'lon': 2.362380209578815}, 'workspaceName': 'public', 'processorName': 'DRS-MM V2.9vV2.9', 'correlationId': '31b9f240-c957-4590-b939-f883b3ac1295', 'publicationDate': '2022-05-19T05:37:17.052747045Z', 'illuminationElevationAngle': 59.36321856705793, 'productType': 'bundle', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2023-05-19T05:37:17.05275023Z', 'incidenceAngleAcrossTrack': -3.624404830969603, 'illuminationAzimuthAngle': 158.8671623877473, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -8.518630712458929, 'incidenceAngle': 9.236939113652095, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202205181102466_FR1_PX_E002N49_0502_02089', 'organisationName': 'AIRBUS DS GEO'}",4f07e1f7-23fc-4da4-8307-876f8afa79a9,airbus,2022-05-18 11:02:46.681000+00:00,,,13.82,0.5,MINUTES,208610,0,478.6971331064416,198,9.236939113652095,"POLYGON ((2.22311998 49.16617176, 2.22353666 48.954602, 2.50125937 48.95269866, 2.50164044 49.16465846, 2.22311998 49.16617176))"
1,993a663f-f28b-4fa4-9672-8541e81a6a62,phr,phr,oneatlas,"{'commercialReference': 'SO22032476', 'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202206181113230_FR1_PX_E002N48_0819_05880', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-06-20T16:42:51.679793545Z', 'processingDate': '2022-06-20T15:15:15.226', 'parentIdentifier': 'DS_PHR1B_202206181114000_FR1_PX_E002N48_0819_05884', 'azimuthAngle': 180.004478240777, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '0717dfb2-811e-46b2-8774-b40aa4b369b6', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'customerReference': 'C301000', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.75305701847585, 'lon': 2.595950724200091}, 'workspaceName': 'public', 'processorName': 'DRS-MM V2.9vV2.9', 'correlationId': '08b977cb-84f9-45d1-a47d-802c84dad7a7', 'publicationDate': '2022-06-20T16:42:51.679793545Z', 'illuminationElevationAngle': 63.80951906982096, 'productType': 'bundle', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2023-06-20T16:42:51.679799061Z', 'incidenceAngleAcrossTrack': -23.43460127055274, 'illuminationAzimuthAngle': 160.6195391661881, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -7.419826303064148, 'incidenceAngle': 24.35134143922626, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202206181114000_FR1_PX_E002N48_0819_05884', 'organisationName': 'AIRBUS DS GEO'}",993a663f-f28b-4fa4-9672-8541e81a6a62,airbus,2022-06-18 11:14:00.055000+00:00,,,0.01,0.5,MINUTES,747810,1,1699.9763071631298,177,24.35134143922626,"POLYGON ((2.43546588 49.08069453, 2.43361212 48.44099324, 2.75828933 48.42661077, 2.75663469 49.07453914, 2.43546588 49.08069453))"
2,548c4b4e-cea0-4d03-a98b-558933b3e562,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202207031059014_FR1_PX_E002N49_0502_02560', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-07-17T12:17:35.855999021Z', 'processingDate': '2022-07-03T12:01:48.298Z', 'parentIdentifier': 'DS_PHR1A_202207031059014_FR1_PX_E002N49_0502_02560', 'azimuthAngle': 180.0123528456168, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '3b6d6997-582f-469e-9000-aa2791261aa2', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 49.053498673130925, 'lon': 2.3625578573495085}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '4b76bd24-7006-4e5f-b637-5d6fbe7788fb', 'publicationDate': '2022-07-17T12:17:35.855999021Z', 'illuminationElevationAngle': 61.82019656990233, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-07-14T12:17:04.087718719Z', 'incidenceAngleAcrossTrack': 5.192680870309545, 'illuminationAzimuthAngle': 151.9555936108465, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -18.70995717501868, 'incidenceAngle': 19.32352493597588, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202207031059014_FR1_PX_E002N49_0502_02560', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",548c4b4e-cea0-4d03-a98b-558933b3e562,airbus,2022-07-03 10:59:01.430000+00:00,,,74.66818860518349,0.5,HOURS,314400,2,668.2011807281915,137,19.32352493597588,"POLYGON ((2.21797977 48.90895532, 2.23867794 48.9096543, 2.35197295 48.91271627, 2.50717874 48.9152364, 2.50713288 48.933083129999986, 2.50801047 49.19813962, 2.35915387 49.19627354, 2.31609746 49.19544079, 2.21710525 49.19269711, 2.21715267 49.135514429999986, 2.21797977 48.90895532))"
3,9cec1f08-1a9e-4b34-8048-9d813f001713,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2021-12-09T13:46:08Z', 'processingDate': '2021-11-25T13:31:02.510Z', 'azimuthAngle': 179.70779629457982, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '4f107aed-0ff5-4aa9-b8aa-151830a02587', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_00904600893515', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [2.4524313150395374, 48.84865730144587], 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': 'mmcat_549a1e580e41a85ad0022c1a4d6e3f58', 'publicationDate': '2021-11-25T13:33:16.511126137Z', 'illuminationElevationAngle': 20.684623338443803, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2031-12-07T13:44:53.414608067Z', 'incidenceAngleAcrossTrack': -26.719408765164722, 'illuminationAzimuthAngle': 173.94344124194558, 'incidenceAngleAlongTrack': -5.565302731318318, 'incidenceAngle': 26.985283492581953, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",9cec1f08-1a9e-4b34-8048-9d813f001713,airbus,2021-11-25 11:12:39.420000+00:00,,,100.0,0.3,HOURS,1017000,3,566.0695790735326,284,26.985283492581953,"POLYGON ((2.33268233 48.99737227, 2.33447409 48.8590631, 2.33448725 48.85820528, 2.33264734 48.72047325, 2.33263156 48.71961649, 2.33237694 48.70818648, 2.57115127 48.70011180999999, 2.57136686 48.71170919, 2.57138166 48.71257821, 2.57244634 48.85234406, 2.57248569 48.85320725, 2.57031696 48.99346384, 2.33268233 48.99737227))"
4,4ced9ac1-0c9b-4159-bc42-94fffd14682d,pneo,pneo,oneatlas,"{'commercialReference': '000028527', 'qualified': False, 'lastUpdateDate': '2022-07-29T07:32:38Z', 'processingDate': '2022-07-01T20:36:14.673Z', 'azimuthAngle': 209.5010088432469, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '38461cf0-0ce3-4f88-b030-024b55a98f8e', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_01634202782840', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_Worldcities_1', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.72191762475783, 'lon': 2.319464691619077}, 'workspaceName': 'public-pneo', 'processorName': 'SPICYv1.1.14', 'correlationId': 'PWOI_000028527_5_1_I_1', 'publicationDate': '2022-07-01T20:44:13.151379875Z', 'illuminationElevationAngle': 62.4727418924149, 'productType': 'bundle', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2023-07-29T07:32:38Z', 'incidenceAngleAcrossTrack': -3.7313850626371408, 'illuminationAzimuthAngle': 153.0042687954244, 'format': 'SAFIR', 'internalLine': '5_1', 'incidenceAngleAlongTrack': 6.67611483558679, 'internalReference': 'SAL22023330', 'incidenceAngle': 7.607161977069577, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",4ced9ac1-0c9b-4159-bc42-94fffd14682d,airbus,2022-06-15 10:58:05.241000+00:00,,,0.0,0.3,MINUTES,373968,4,207.91765672004973,157,7.607161977069577,"POLYGON ((2.22260426 48.78670786, 2.22279721 48.65570234, 2.41614017 48.65651453, 2.41632512 48.78810983, 2.22260426 48.78670786))"
5,2e8b471d-8d39-41f9-9eb1-caa8339f5eef,pneo,pneo,oneatlas,"{'commercialReference': '000017249', 'qualified': False, 'lastUpdateDate': '2022-06-27T19:51:28Z', 'processingDate': '2022-04-13T14:39:47.958Z', 'azimuthAngle': 94.40499781363444, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '010d763f-a115-4602-92e5-5445dc03b7a3', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_00625300403352', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_EUcities_2', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.84909967248167, 'lon': 2.1376822667439126}, 'workspaceName': 'public-pneo', 'processorName': 'SPICYv1.1.12', 'correlationId': 'PWOI_000017249_6_1_I_1', 'publicationDate': '2022-04-13T15:11:18.80487418Z', 'illuminationElevationAngle': 40.07291104619347, 'productType': 'bundle', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2023-06-27T19:51:28Z', 'incidenceAngleAcrossTrack': 25.176024428357085, 'illuminationAzimuthAngle': 159.67087758866273, 'format': 'SAFIR', 'internalLine': '6_1', 'incidenceAngleAlongTrack': 2.258390607842522, 'internalReference': 'SAL22013862', 'incidenceAngle': 25.230558850113304, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",2e8b471d-8d39-41f9-9eb1-caa8339f5eef,airbus,2021-09-22 10:42:55.421000+00:00,,,0.0,0.35,MINUTES,972684,5,540.7651022717695,250,25.230558850113304,"POLYGON ((2.02119348 48.99338196, 2.02272883 48.70597574, 2.25254399 48.7049769, 2.25417106 48.99022753, 2.02119348 48.99338196))"
6,a3e54a67-2db0-44eb-9df5-647bda7b6eaf,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2021-11-27T13:42:21Z', 'processingDate': '2021-11-13T12:58:07.035Z', 'azimuthAngle': 179.82439461340567, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'c2c380aa-a038-431d-85f4-1f9cfae2b8d1', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_00825300809196', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [2.338122781620424, 48.86956911953185], 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': 'mmcat_d0d3057ba881e2d0ace0daa86ac8605d', 'publicationDate': '2021-11-13T13:20:52.412387691Z', 'illuminationElevationAngle': 22.676829009262466, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2031-11-25T13:41:41.298341898Z', 'incidenceAngleAcrossTrack': 25.690704147697293, 'illuminationAzimuthAngle': 166.51817245118593, 'incidenceAngleAlongTrack': -6.326242759314312, 'incidenceAngle': 26.093942975504373, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",a3e54a67-2db0-44eb-9df5-647bda7b6eaf,airbus,2021-11-13 10:42:43.785000+00:00,,,100.0,0.3,HOURS,469800,6,261.92112662481253,286,26.093942975504373,"POLYGON ((2.2205182 48.935220329999986, 2.22214928 48.79760309, 2.45496825 48.8047469, 2.45572737 48.94148451, 2.2205182 48.935220329999986))"
7,c2869d07-beef-4798-bfb0-05e9b4458470,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202210201110535_FR1_PX_E002N49_0201_02560', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-10-20T12:27:22.278631245Z', 'processingDate': '2022-10-20T12:10:46.927Z', 'parentIdentifier': 'DS_PHR1A_202210201110535_FR1_PX_E002N49_0201_02560', 'azimuthAngle': 180.0860184921724, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '213918fa-30a7-4d34-b234-7b2a649a6154', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 49.03098262182442, 'lon': 2.125785193961265}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '46c4dfd3-a660-4327-9f2d-688b7e0b71ab', 'publicationDate': '2022-10-20T12:27:22.278631245Z', 'illuminationElevationAngle': 30.4592130468176, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-10-17T12:27:04.125864022Z', 'incidenceAngleAcrossTrack': -16.35228647499016, 'illuminationAzimuthAngle': 172.5063673620898, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -0.3887074383518943, 'incidenceAngle': 16.35642357841627, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202210201110535_FR1_PX_E002N49_0201_02560', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",c2869d07-beef-4798-bfb0-05e9b4458470,airbus,2022-10-20 11:10:53.555000+00:00,,,54.807596724828,0.5,HOURS,305750,7,638.0682150177879,41,16.35642357841627,"POLYGON ((2.15080996 49.16409694, 1.9773744 49.16294732, 1.97806672 49.10055448, 1.97782466 49.0183653, 1.97818593 48.99093382999999, 1.97756433 48.94526682, 1.97751399 48.92697102, 1.97697945 48.89951131, 2.08475801 48.89967718, 2.27421869 48.897914329999985, 2.27459094 48.97024327, 2.27421104 49.04400394, 2.27445726 49.06241924, 2.27418959 49.09002688, 2.2743315 49.09922062, 2.27410724 49.16359052, 2.15080996 49.16409694))"
8,e26e783c-ac27-4d5e-bdd4-268e4e7b57d1,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2021-11-18T16:28:08Z', 'processingDate': '2021-11-04T13:29:01.966Z', 'azimuthAngle': 179.47288268439388, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'fa25aae7-42db-429f-bfa9-2e72f8560e0c', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_00812000716356', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [2.33802590182209, 48.87003623125915], 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': 'mmcat_b1b18a99a6cb8edaf601c2b77b9080be', 'publicationDate': '2021-11-04T13:33:14.675443985Z', 'illuminationElevationAngle': 26.026638186123215, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2031-11-16T14:03:51.986457527Z', 'incidenceAngleAcrossTrack': -23.764888102942734, 'illuminationAzimuthAngle': 173.27495639473383, 'incidenceAngleAlongTrack': 7.878324904856354, 'incidenceAngle': 24.521399663362384, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",e26e783c-ac27-4d5e-bdd4-268e4e7b57d1,airbus,2021-11-04 11:09:15.770000+00:00,,,92.3,0.3,HOURS,459000,8,256.0697733364991,291,24.521399663362384,"POLYGON ((2.22461594 48.93410406, 2.22366434 48.797273619999984, 2.45238747 48.804386059999985, 2.45213982 48.94275625, 2.22461594 48.93410406))"
9,bf38ae88-42a2-4309-8359-5374e35cddcc,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-06-27T15:21:02.353049808Z', 'processingDate': '2022-06-13T11:20:00.968Z', 'azimuthAngle': 179.72331629851288, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '02a612e3-6268-4f9f-9575-4c761cfc36b7', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO4_01612002756456', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 48.94364844754057, 'lon': 2.2486930311856055}, 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': 'feb1fd62-94dc-4826-976d-cf1515ffe53d', 'publicationDate': '2022-06-27T15:21:02.353049808Z', 'illuminationElevationAngle': 62.86985138182741, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2032-06-24T12:57:11.266624063Z', 'incidenceAngleAcrossTrack': -15.967649640589654, 'illuminationAzimuthAngle': 158.41299847277142, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -25.8210074136692, 'incidenceAngle': 28.178365728772885, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",bf38ae88-42a2-4309-8359-5374e35cddcc,airbus,2022-06-13 11:08:21.227000+00:00,,,3.2,0.3,HOURS,154800,9,86.41373402914562,167,28.178365728772885,"POLYGON ((2.13805767 48.97530943999998, 2.1380243 48.92755348, 2.35936176 48.91189502, 2.35926881 48.9600193, 2.13805767 48.97530943999998))"
