image_id,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,cost,image_id,area,geometry,local_image_id
125,24b7113b-00f4-4b61-96f3-2f34978780e2,pneo,pneo,oneatlas,"{'commercialReference': '000032021', 'qualified': False, 'lastUpdateDate': '2022-07-28T16:42:43Z', 'processingDate': '2022-07-22T00:57:08.836Z', 'azimuthAngle': 212.46230896430535, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '2c1e5441-0a90-4f21-8b86-5b6be85d3750', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO4_01334202059547', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_Worldcities_8', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.60572634949654, 'lon': 2.3192862329152977}, 'workspaceName': 'public-pneo', 'processorName': 'SPICYv1.2.4', 'correlationId': 'PWOI_000032021_9_1_I_1', 'publicationDate': '2022-07-22T01:05:55.998799024Z', 'illuminationElevationAngle': 47.671177496902786, 'productType': 'bundle', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2023-07-28T16:42:43Z', 'incidenceAngleAcrossTrack': -3.7985078186938805, 'illuminationAzimuthAngle': 159.86615071600917, 'format': 'SAFIR', 'internalLine': '9_1', 'incidenceAngleAlongTrack': 6.080998726731347, 'internalReference': 'SAL22026473', 'incidenceAngle': 7.1336327003680315, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",24b7113b-00f4-4b61-96f3-2f34978780e2,airbus,2022-04-11 10:58:02.115000+00:00,,,0.5598437223806049,0.3,MINUTES,98586,0,207.4574680332886,"POLYGON ((2.22274871 48.67062681, 2.22297289 48.53966331, 2.41564405 48.54041344, 2.41582375 48.67176629, 2.22274871 48.67062681))",125
299,cf71d72c-1b26-49e0-a1ef-51d3dd69fcf6,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2021-10-22T13:23:41Z', 'processingDate': '2021-10-08T13:16:02.277Z', 'azimuthAngle': 179.30222396844533, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '156ea99c-1e26-4eac-ab1e-c718f64dadd0', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_00710500528208', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [2.137627468354942, 48.848248149530306], 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': 'mmcat_7955238bf5516cc63abee1d2b3815083', 'publicationDate': '2021-10-08T13:18:24.332998513Z', 'illuminationElevationAngle': 34.76282920703712, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2031-10-20T13:22:24.024066232Z', 'incidenceAngleAcrossTrack': 17.473912455112288, 'illuminationAzimuthAngle': 165.01179595142895, 'incidenceAngleAlongTrack': -13.522942449497638, 'incidenceAngle': 20.908251134749765, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",cf71d72c-1b26-49e0-a1ef-51d3dd69fcf6,airbus,2021-10-08 10:49:59.741000+00:00,,,0.0,0.3,HOURS,914400,1,508.4878691742839,"POLYGON ((2.03080571 48.99092868, 2.03092317 48.85386347, 2.03091966 48.85301366, 2.0319744 48.71697708, 2.03198443 48.71612916, 2.0318986 48.69716179, 2.24333927 48.70683575, 2.24343605 48.72567346, 2.24343729 48.72652133, 2.24342756 48.8620782, 2.24343425 48.86292344, 2.24444923 48.99954016, 2.03080571 48.99092868))",299
76,9956ee89-002f-45ea-aff9-a037ad0a6b8d,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202208041102548_FR1_PX_E002N49_0201_02560', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-08-24T15:31:21.485777965Z', 'processingDate': '2022-08-04T11:55:39.164Z', 'parentIdentifier': 'DS_PHR1B_202208041102548_FR1_PX_E002N49_0201_02560', 'azimuthAngle': 180.0221437450713, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'f1409c98-2e0d-4d25-a323-df8b4fe5e932', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 49.032777598837775, 'lon': 2.126132777023357}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': 'c1c12932-c22e-4c4c-834b-c249fd30f363', 'publicationDate': '2022-08-24T15:31:21.485777965Z', 'illuminationElevationAngle': 56.37349196706167, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-08-15T12:12:04.254741466Z', 'incidenceAngleAcrossTrack': -2.215695415441502, 'illuminationAzimuthAngle': 155.5125440075284, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -7.910600027398167, 'incidenceAngle': 8.207518196943035, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202208041102548_FR1_PX_E002N49_0201_02560', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",9956ee89-002f-45ea-aff9-a037ad0a6b8d,airbus,2022-08-04 11:02:54.806000+00:00,,,78.89694020805538,0.5,HOURS,285400,2,585.126235417412,"POLYGON ((1.98795911 48.90356489, 2.08850622 48.90377799, 2.26430544 48.90232757, 2.26487238 49.16228844, 2.19097273 49.16324153, 1.98739318 49.16324783, 1.98795911 48.90356489))",76
183,b9f26cef-9298-462e-b9e9-38ec4aced50e,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202206071059225_FR1_PX_E002N48_0224_01426', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-06-21T16:14:02Z', 'processingDate': '2022-06-07T15:43:17.21Z', 'parentIdentifier': 'DS_PHR1A_202206071059225_FR1_PX_E002N48_0224_01426', 'azimuthAngle': 179.9623965211992, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '34370a83-96c4-4ff5-b6b5-8bab09bc2385', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 48.97425764574383, 'lon': 2.1259736666874502}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '40778ffd-e0a2-474a-ab49-48ee9c2756bd', 'publicationDate': '2022-06-07T16:01:04.290400348Z', 'illuminationElevationAngle': 62.06888515034903, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-06-18T16:07:11.373785909Z', 'incidenceAngleAcrossTrack': 0.6499207971270521, 'illuminationAzimuthAngle': 154.0502207926791, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 4.070760953155258, 'incidenceAngle': 4.121972338394447, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202206071059225_FR1_PX_E002N48_0224_01426', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",b9f26cef-9298-462e-b9e9-38ec4aced50e,airbus,2022-06-07 10:59:22.555000+00:00,,,59.00546463581959,0.5,HOURS,281630,3,316.39342014440587,"POLYGON ((1.98895778 48.90304466, 2.11569248 48.90381672, 2.26287143 48.90297195999999, 2.26335204 49.04455023, 2.14978246 49.04544809, 1.98859529 49.04478062, 1.98895778 48.90304466))",183
129,ce7eca3e-40c5-4eb6-b836-b50150d3a46c,pneo,pneo,oneatlas,"{'commercialReference': '000031989', 'qualified': False, 'lastUpdateDate': '2022-07-28T17:10:53Z', 'processingDate': '2022-07-21T15:21:26.173Z', 'azimuthAngle': 259.4042233644358, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'bc816669-fa13-4997-a294-deb5054741c3', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO4_01719403163554', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_Worldcities_7', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.85638681764646, 'lon': 2.3279122258282734}, 'workspaceName': 'public-pneo', 'processorName': 'SPICYv1.2.4', 'correlationId': 'PWOI_000031989_6_1_I_1', 'publicationDate': '2022-07-21T15:27:59.574454136Z', 'illuminationElevationAngle': 61.164455528580426, 'productType': 'bundle', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2023-07-28T17:10:53Z', 'incidenceAngleAcrossTrack': -15.866815344634839, 'illuminationAzimuthAngle': 154.8670070019921, 'format': 'SAFIR', 'internalLine': '6_1', 'incidenceAngleAlongTrack': 3.2255492413534412, 'internalReference': 'SAL22026445', 'incidenceAngle': 16.11835573986667, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",ce7eca3e-40c5-4eb6-b836-b50150d3a46c,airbus,2022-07-14 11:05:23.704000+00:00,,,0.0,0.32,MINUTES,278694,4,154.9433399311627,"POLYGON ((2.22469118 48.9008471, 2.2241515 48.80951172, 2.43167295 48.81125344, 2.43155582 48.90319803, 2.22469118 48.9008471))",129
158,a75ff454-626a-4784-aac6-986b1d5e7ccc,pneo,pneo,oneatlas,"{'commercialReference': '000028508', 'qualified': False, 'lastUpdateDate': '2022-07-28T17:15:47Z', 'processingDate': '2022-07-01T18:35:09.23Z', 'azimuthAngle': 117.09219466977092, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '63d7605f-5c60-4b3e-bfd9-dcb1308bc45f', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_01634202782867', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_Worldcities_1', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 49.06945116783792, 'lon': 1.9877901250953929}, 'workspaceName': 'public-pneo', 'processorName': 'SPICYv1.1.14', 'correlationId': 'PWOI_000028508_2_1_I_1', 'publicationDate': '2022-07-01T18:41:18.831006951Z', 'illuminationElevationAngle': 62.04573001427434, 'productType': 'bundle', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2023-07-28T17:15:47Z', 'incidenceAngleAcrossTrack': 1.2829380122443665, 'illuminationAzimuthAngle': 152.57495209393193, 'format': 'SAFIR', 'internalLine': '2_1', 'incidenceAngleAlongTrack': 0.8465772939849366, 'internalReference': 'SAL22023306', 'incidenceAngle': 1.536901704024465, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",a75ff454-626a-4784-aac6-986b1d5e7ccc,airbus,2022-06-15 10:57:50.735000+00:00,,,0.0,0.3,MINUTES,40194,5,205.12956970047665,"POLYGON ((1.89115999 49.134792, 1.89142553 49.00414582, 2.08412291 49.00395481999998, 2.08442026 49.13492297, 1.89115999 49.134792))",158
269,3086df6c-91fe-4c9b-b5a6-c84a96df4181,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-01-17T12:15:13Z', 'processingDate': '2022-01-02T11:56:01.996Z', 'azimuthAngle': 180.03715241948947, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'acc70a17-63a6-415b-bc91-d7652145c9c8', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO4_01003101174748', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [2.3381803848388842, 48.86994455183817], 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': 'mmcat_a57bf0c0846527629318d29df8200199', 'publicationDate': '2022-01-02T11:57:54.263057957Z', 'illuminationElevationAngle': 17.003312249575444, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2032-01-15T12:14:18.110307377Z', 'incidenceAngleAcrossTrack': 3.2204079060562973, 'illuminationAzimuthAngle': 165.57300630688388, 'incidenceAngleAlongTrack': 8.506155554350936, 'incidenceAngle': 9.065322301922084, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",3086df6c-91fe-4c9b-b5a6-c84a96df4181,airbus,2022-01-02 10:54:16.998000+00:00,,,98.0,0.3,HOURS,372600,6,207.97874244210232,"POLYGON ((2.24078778 48.93601261, 2.24118727 48.80776377, 2.24119196 48.80696934, 2.24119925 48.80484865, 2.43526625 48.80385266, 2.4352737 48.80596629, 2.43527326 48.806761409999986, 2.43557299 48.93492141, 2.24078778 48.93601261))",269
267,d10fcc5b-5fe8-49a3-959e-1e29ab24a047,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-01-24T12:26:32Z', 'processingDate': '2022-01-10T11:27:05.266Z', 'azimuthAngle': 180.0257828658873, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '8c8c1c74-e98b-41a9-b029-32990a113e63', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_01034201237421', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [2.3383001589518497, 48.869491195890255], 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': 'mmcat_4f04ca257d31735b589a4e8d07bd2a51', 'publicationDate': '2022-01-10T11:59:23.133659691Z', 'illuminationElevationAngle': 17.907390288282837, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2032-01-22T12:25:30.350277484Z', 'incidenceAngleAcrossTrack': 0.3893303404929099, 'illuminationAzimuthAngle': 165.3987516294453, 'incidenceAngleAlongTrack': -7.2867419896411665, 'incidenceAngle': 7.296341562897508, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",d10fcc5b-5fe8-49a3-959e-1e29ab24a047,airbus,2022-01-10 10:57:38.747000+00:00,,,96.9,0.3,HOURS,372600,7,207.41285105564674,"POLYGON ((2.24144151 48.93497767, 2.24171816 48.80805307, 2.24171957 48.80727271, 2.24171899 48.80379604, 2.4349106 48.80365569, 2.43492812 48.80716107, 2.4349305 48.80794646999998, 2.43515881 48.93530329999999, 2.24144151 48.93497767))",267
72,5157d8d8-b7ad-4a43-be30-32ab24bdd70f,phr,phr,oneatlas,"{'commercialReference': 'SO22049879', 'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202208241058311_FR1_PX_E002N49_0202_02178', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-08-25T02:19:44.899102662Z', 'processingDate': '2022-08-25T01:22:46.025', 'parentIdentifier': 'DS_PHR1A_202208241059081_FR1_PX_E002N49_0202_02182', 'azimuthAngle': 179.9878695617106, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'b565a3a7-cd3c-4612-a023-e1cbddf33962', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'customerReference': 'C301000', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 49.05226758178055, 'lon': 2.1275169565074186}, 'workspaceName': 'public', 'processorName': 'DRS-MM V2.9vV2.9', 'correlationId': '14fd3123-75b4-4392-b846-22c2d695fac7', 'publicationDate': '2022-08-25T02:19:44.899102662Z', 'illuminationElevationAngle': 50.47545582666307, 'productType': 'bundle', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2023-08-25T02:19:44.899110355Z', 'incidenceAngleAcrossTrack': 4.535053809384506, 'illuminationAzimuthAngle': 158.5562666428528, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -8.825434808007152, 'incidenceAngle': 9.890081084479569, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1A_202208241059081_FR1_PX_E002N49_0202_02182', 'organisationName': 'AIRBUS DS GEO'}",5157d8d8-b7ad-4a43-be30-32ab24bdd70f,airbus,2022-08-24 10:59:08.180000+00:00,,,16.82,0.5,MINUTES,210930,8,503.9803902318519,"POLYGON ((1.98774259 49.16275054, 1.98841414 48.94008452, 2.26649943 48.942392019999986, 2.26729133 49.16445062, 1.98774259 49.16275054))",72
64,df88ac12-48a3-4e41-8973-f319c16ca617,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-09-10T11:38:43.56583265Z', 'processingDate': '2022-09-10T11:28:09.329Z', 'azimuthAngle': 180.18179070764782, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '16831c4a-e7d5-4d5b-b1eb-d07f26623fd5', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO4_01928303947260', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 48.59894846301442, 'lon': 2.3117314531683357}, 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': '82e1acdd-62ad-45d9-bdf0-77fb0c772ad7', 'publicationDate': '2022-09-10T11:38:43.56583265Z', 'illuminationElevationAngle': 46.64686921859181, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2032-09-07T11:37:08.201721696Z', 'incidenceAngleAcrossTrack': -35.64196073186639, 'illuminationAzimuthAngle': 169.54298746686368, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -28.168036244699408, 'incidenceAngle': 38.975087197869016, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",df88ac12-48a3-4e41-8973-f319c16ca617,airbus,2022-09-10 11:19:37.104000+00:00,,,100.0,0.3,HOURS,131400,9,318.0773024746891,"POLYGON ((2.17187259 48.69041329, 2.1719068 48.55265419, 2.45159032 48.50742477, 2.45142848 48.64707923, 2.17187259 48.69041329))",64
