image_id,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,cost,image_id,area,incidence_angle,geometry
0,42abf94b-f15c-4e78-82ed-12a1b6fae399,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202104041058355_FR1_PX_E002N48_0524_01542', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2023-02-23T13:59:22.940612925Z', 'processingDate': '2021-04-04T15:43:08.753Z', 'parentIdentifier': 'DS_PHR1B_202104041058355_FR1_PX_E002N48_0524_01542', 'azimuthAngle': 180.0406839832543, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'fcbe7a99-a7ca-4a71-9c11-deb1e9f7870b', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 48.981936796137546, 'lon': 2.362412614834145}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': 'b68beab1-8ba2-4d3f-cd3b-8444951c4cb4', 'publicationDate': '2023-02-23T13:59:22.940612925Z', 'illuminationElevationAngle': 45.48662341349219, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2031-04-04T00:00:00+02:00', 'incidenceAngleAcrossTrack': 8.661781931591781, 'illuminationAzimuthAngle': 160.1165199434093, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -28.74200064065388, 'incidenceAngle': 29.64860153985775, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202104041058355_FR1_PX_E002N48_0524_01542', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",42abf94b-f15c-4e78-82ed-12a1b6fae399,airbus,2021-04-04 10:58:35.555000+00:00,,,2.7,0.5,HOURS,413640,0,504.2298942319569,29.64860153985775,"POLYGON ((2.51959813 49.08903161, 2.42094736 49.08477548, 2.29694848 49.07827232, 2.2052271 49.07218819, 2.20535803 48.96625666, 2.20588432 48.87478196, 2.33564418 48.8829013, 2.42858266 48.88814536, 2.5192902 48.89229081, 2.51959813 49.08903161))"
1,c91e4c18-6873-4d67-8d24-b5de8a4ca1bc,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT7_202210221027372_FR1_FR1_FR1_FR1_E003N49_03738', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2023-02-01T17:02:25.186681501Z', 'processingDate': '2022-10-22T10:52:10.975Z', 'parentIdentifier': 'DS_SPOT7_202210221027372_FR1_FR1_FR1_FR1_E003N49_03738', 'azimuthAngle': 179.9962779879223, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'f5c769ea-5b8d-41eb-9145-543fa355672f', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 48.74314286113379, 'lon': 2.940896901530219}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '82aa282d-0ce6-432a-c3fe-70c124c8318b', 'publicationDate': '2023-02-01T17:02:25.186681501Z', 'illuminationElevationAngle': 28.996533964394185, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-10-22T00:00:00+02:00', 'incidenceAngleAcrossTrack': -4.590017671236148, 'illuminationAzimuthAngle': 161.64039450181298, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 0.8282806327508258, 'incidenceAngle': 4.668987432951948, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT7_202210221027372_FR1_FR1_FR1_FR1_E003N49_03738', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",c91e4c18-6873-4d67-8d24-b5de8a4ca1bc,airbus,2022-10-22 10:27:37.249000+00:00,,,20.0,1.5,HOURS,165965,1,7672.571269496947,4.668987432951948,"POLYGON ((2.52474301 49.31257597, 2.52858111 48.74171806999998, 2.52863628 48.73787842, 2.53190209 48.17646177, 3.35195024 48.17600204, 3.35399075 48.73743637, 3.35395478 48.74127578, 3.35705079 49.31202575, 2.52474301 49.31257597))"
2,60b6a796-98e8-4ef0-8922-078c599e7de5,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT6_202210211035376_FR1_FR1_FR1_FR1_E002N49_03657', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2023-02-01T16:12:57.338122122Z', 'processingDate': '2022-10-21T11:05:43.063Z', 'parentIdentifier': 'DS_SPOT6_202210211035376_FR1_FR1_FR1_FR1_E002N49_03657', 'azimuthAngle': 179.99507769802278, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '6b5cb2a5-0cb6-43c0-8dc4-b9e165901aab', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 48.74786609042824, 'lon': 2.181311296230247}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '7b7d55d9-9a18-48a7-c8af-65e1f55b5b1d', 'publicationDate': '2023-02-01T16:12:57.338122122Z', 'illuminationElevationAngle': 29.57818327869989, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-10-21T00:00:00+02:00', 'incidenceAngleAcrossTrack': -9.264274915049834, 'illuminationAzimuthAngle': 162.88080102565797, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -9.3926571166635, 'incidenceAngle': 12.933725662916636, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT6_202210211035376_FR1_FR1_FR1_FR1_E002N49_03657', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",60b6a796-98e8-4ef0-8922-078c599e7de5,airbus,2022-10-21 10:35:37.624000+00:00,,,51.8,1.5,HOURS,746864,2,7829.863162653217,12.933725662916636,"POLYGON ((1.75451926 49.31965615, 1.75633078 48.73403982, 1.75635825 48.73008548, 1.75775812 48.19766182, 2.60696394 48.178817289999984, 2.60700506 48.71423339, 2.60699711 48.7182034, 2.60810333 49.30695735, 1.75451926 49.31965615))"
3,f2fc2a30-9c93-40d2-9c67-1d8ff0ddd7a5,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202210211103173_FR1_PX_E002N49_0801_02449', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2023-02-01T15:01:05.091644351Z', 'processingDate': '2022-10-21T15:44:34.34Z', 'parentIdentifier': 'DS_PHR1B_202210211103173_FR1_PX_E002N49_0801_02449', 'azimuthAngle': 180.0081460446821, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '474fbb85-2bf4-49d7-a571-959cf05b54f7', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 49.018570648262745, 'lon': 2.5985457569917223}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '554d5ab4-f63d-4e36-cec3-db82bc4be3b3', 'publicationDate': '2023-02-01T15:01:05.091644351Z', 'illuminationElevationAngle': 30.00051520687337, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-10-21T00:00:00+02:00', 'incidenceAngleAcrossTrack': -10.03883288380916, 'illuminationAzimuthAngle': 171.1445854507989, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 9.0296964973066, 'incidenceAngle': 13.38145364036992, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202210211103173_FR1_PX_E002N49_0801_02449', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",f2fc2a30-9c93-40d2-9c67-1d8ff0ddd7a5,airbus,2022-10-21 11:03:17.306000+00:00,,,42.3,0.5,HOURS,254770,3,587.450102390502,13.38145364036992,"POLYGON ((2.74125563 49.14771635, 2.60870339 49.14585077, 2.45583588 49.14204526, 2.45595735 49.11813762, 2.45592286 48.88947227, 2.47618597 48.89001265, 2.58740121 48.89230759, 2.74092523 48.8939099, 2.74118099 48.90883277, 2.74125563 49.14771635))"
4,b3124710-3af8-4ec3-ba1e-6fa27941692b,pneo,pneo,oneatlas,"{'commercialReference': '000065665', 'qualified': False, 'lastUpdateDate': '2023-01-15T15:22:17Z', 'processingDate': '2023-01-15T15:15:53.363Z', 'azimuthAngle': 94.65487893763243, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '88a2f566-14d2-458e-8e52-ea5a0865f1fe', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_02332705165609', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_World_71', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.92509888048946, 'lon': 2.361050014029638}, 'workspaceName': 'public-pneo', 'processorName': 'SPICYv1.2.7', 'correlationId': 'PWOI_000065665_8_1_I_1', 'publicationDate': '2023-01-15T15:19:48.196713902Z', 'illuminationElevationAngle': 16.58195920334847, 'productType': 'bundle', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2024-01-15T15:22:17Z', 'incidenceAngleAcrossTrack': 29.468064358440593, 'illuminationAzimuthAngle': 164.47362924076702, 'format': 'SAFIR', 'internalLine': '8_1', 'incidenceAngleAlongTrack': 2.8221083444015753, 'internalReference': 'SAL23056034', 'incidenceAngle': 29.52190522525534, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",b3124710-3af8-4ec3-ba1e-6fa27941692b,airbus,2022-12-13 10:39:13.068000+00:00,,,0.0,0.36,MINUTES,303300,4,168.62398567753814,29.52190522525534,"POLYGON ((2.23591845 48.96815079999999, 2.23590229 48.88500150999999, 2.48562448 48.88193637, 2.48619774 48.96430821, 2.23591845 48.96815079999999))"
5,fb265cd6-4440-4285-ab10-216068251197,phr,phr,oneatlas,"{'commercialReference': 'SO22069100', 'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202212271047166_FR1_PX_E002N48_0824_01783', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-12-28T13:20:20.724410738Z', 'processingDate': '2022-12-28T03:21:04.630', 'parentIdentifier': 'DS_PHR1A_202212271047536_FR1_PX_E002N48_0824_01787', 'azimuthAngle': 179.9748771209819, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'a0830b8d-68eb-435a-a716-beedbbe2819d', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'customerReference': 'C301000', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.982480727089055, 'lon': 2.6000181445358717}, 'workspaceName': 'public', 'processorName': 'DRS-MM V2.9vV2.9', 'correlationId': '7628dca3-5ed3-4c2f-9732-4f4bec5a0f0c', 'publicationDate': '2022-12-28T13:20:20.724410738Z', 'illuminationElevationAngle': 16.50125173126885, 'productType': 'bundle', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2023-12-28T13:20:20.724423618Z', 'incidenceAngleAcrossTrack': 17.34888362793004, 'illuminationAzimuthAngle': 164.7889596597749, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -1.211327031084212, 'incidenceAngle': 17.38618798243928, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1A_202212271047536_FR1_PX_E002N48_0824_01787', 'organisationName': 'AIRBUS DS GEO'}",fb265cd6-4440-4285-ab10-216068251197,airbus,2022-12-27 10:47:53.680000+00:00,,,9.51,0.5,MINUTES,263910,5,449.8024424331681,17.38618798243928,"POLYGON ((2.750146 49.07536098, 2.44989029 49.07499767, 2.45084582 48.88952075000001, 2.74905553 48.89151245, 2.750146 49.07536098))"
6,aba30584-1523-4ed5-94e3-386f247c6419,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202212261054556_FR1_PX_E002N49_0801_01200', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-12-26T17:47:44.717352164Z', 'processingDate': '2022-12-26T17:15:50.151Z', 'parentIdentifier': 'DS_PHR1B_202212261054556_FR1_PX_E002N49_0801_01200', 'azimuthAngle': 180.0065562783185, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '65346068-c4b0-4df0-9e21-5d80332e8e75', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 49.01431646138073, 'lon': 2.5985945594602904}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '7fb523f2-6433-4971-87c9-03c6f3184b74', 'publicationDate': '2022-12-26T17:47:44.717352164Z', 'illuminationElevationAngle': 16.73575188487577, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-12-23T17:47:09.11411242Z', 'incidenceAngleAcrossTrack': 7.916900349304554, 'illuminationAzimuthAngle': 166.5639867058929, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -12.27167319351591, 'incidenceAngle': 14.47599703646568, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202212261054556_FR1_PX_E002N49_0801_01200', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",aba30584-1523-4ed5-94e3-386f247c6419,airbus,2022-12-26 10:54:55.681000+00:00,,,96.80202005388566,0.5,HOURS,155140,6,288.5381298159383,14.47599703646568,"POLYGON ((2.7411662 49.07935864, 2.59531066 49.0774664, 2.45602292 49.07403028, 2.45636466 48.94915539, 2.574078 48.95241631, 2.74065672 48.95512877, 2.7411662 49.07935864))"
7,927eb2fb-d6b0-4a64-aea1-15b448d7e0c8,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-12-15T08:37:20.385531928Z', 'processingDate': '2022-09-14T11:36:04.061Z', 'azimuthAngle': 180.0100760309551, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '921dc50f-8e10-4caf-89f9-11da0ff87874', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO4_01934203999762', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 49.01263317392708, 'lon': 2.5480575347006686}, 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': '9946ac6c-8100-4777-98b8-174462751e27', 'publicationDate': '2022-12-15T08:37:20.385531928Z', 'illuminationElevationAngle': 43.94017468819434, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2032-12-12T08:37:05.685322587Z', 'incidenceAngleAcrossTrack': 0.6969174094396191, 'illuminationAzimuthAngle': 163.06722659501702, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -12.699496254602415, 'incidenceAngle': 12.718446960318289, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",927eb2fb-d6b0-4a64-aea1-15b448d7e0c8,airbus,2022-09-14 10:57:27.399000+00:00,,,11.8,0.3,HOURS,284400,7,211.23010981396723,12.718446960318289,"POLYGON ((2.64670059 49.07869062, 2.44941448 49.0782728, 2.44965414 48.9465501, 2.64647516 48.94688719, 2.64670059 49.07869062))"
8,32662905-088d-41f3-b55e-c0556c9715c7,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-12-15T08:37:20.383752942Z', 'processingDate': '2022-09-14T11:36:08.209Z', 'azimuthAngle': 179.94968023465805, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '6f23f36a-6cf7-4fb8-bf66-bdbc9c85c5ce', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO4_01934203999763', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 49.01255346957538, 'lon': 2.5479695032508594}, 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': '9946ac6c-8100-4777-98b8-174462751e27', 'publicationDate': '2022-12-15T08:37:20.383752942Z', 'illuminationElevationAngle': 43.96811069354351, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2032-12-12T08:37:05.685321112Z', 'incidenceAngleAcrossTrack': -5.68717711019526, 'illuminationAzimuthAngle': 163.2653793021462, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 10.440262053723401, 'incidenceAngle': 11.729799190854933, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",32662905-088d-41f3-b55e-c0556c9715c7,airbus,2022-09-14 10:58:02.375000+00:00,,,20.6,0.3,HOURS,288000,8,212.8420310683299,11.729799190854933,"POLYGON ((2.6466198 49.08003043999999, 2.44931921 49.0775383, 2.44955793 48.94799359, 2.44955368 48.9471903, 2.44955063 48.945053399999985, 2.64647505 48.94705851, 2.64648436 48.9492036, 2.64648915 48.95000753, 2.6466198 49.08003043999999))"
9,b23f76eb-8ef2-481a-bef8-07b9c3bbaa9d,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-12-14T15:43:41.689253193Z', 'processingDate': '2022-10-02T11:07:11.352Z', 'azimuthAngle': 180.04516844556298, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'dce952dd-da4f-4fc3-9eb3-96838d446f1c', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO3_02103104234516', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 48.856394725315745, 'lon': 2.3422458767972976}, 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': '17750eb8-1218-4e40-9fb8-9da3272301c6', 'publicationDate': '2022-12-14T15:43:41.689253193Z', 'illuminationElevationAngle': 37.18176492670643, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2032-12-11T15:42:08.039726009Z', 'incidenceAngleAcrossTrack': 7.396831641288086, 'illuminationAzimuthAngle': 165.37070641007043, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -8.849054395376825, 'incidenceAngle': 11.456302661140981, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",b23f76eb-8ef2-481a-bef8-07b9c3bbaa9d,airbus,2022-10-02 10:53:52.562000+00:00,,,100.0,0.3,HOURS,360000,9,200.7994790306299,11.456302661140981,"POLYGON ((2.4410335 48.92006042, 2.24345825 48.91744451, 2.24406254 48.79269864, 2.44064302 48.79510059, 2.4410335 48.92006042))"
