image_id,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,cost,image_id,area,geometry,local_image_id
0,52866baa-0a9c-435a-9cb3-309ee31991e4,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT7_202104241026515_FR1_GS1_FR1_GS1_E002N49_04875', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2021-04-25T15:06:24Z', 'processingDate': '2021-04-25T13:43:21Z', 'parentIdentifier': 'DS_SPOT7_202104241026515_FR1_GS1_FR1_GS1_E002N49_04875', 'azimuthAngle': 179.99745764714575, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '7576e6f6-080d-4cde-82e2-7bb2bb8b6771', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': [2.1567831720698507, 48.79782076999702], 'workspaceName': 'public', 'processorName': 'IMFv6', 'correlationId': 'f2c1c3a8-6a92-4536-85ec-b6c9938c0e0c', 'publicationDate': '2021-04-24T10:51:14.441236864Z', 'illuminationElevationAngle': 49.621844899453, 'productType': 'bundle', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2031-04-22T10:50:19.721384038Z', 'incidenceAngleAcrossTrack': 3.125123808253827, 'illuminationAzimuthAngle': 147.82778430838067, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -4.446605929736225, 'incidenceAngle': 5.428703652855053, 'processingCenter': 'AOC', 'archiveIdentifier': 'DS_SPOT7_202104241026515_FR1_GS1_FR1_GS1_E002N49_04875', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",52866baa-0a9c-435a-9cb3-309ee31991e4,airbus,2021-04-24 10:26:51.499000+00:00,,,0.0,1.5,MINUTES,701439,0,10154.200084949738,"POLYGON ((1.73561213 49.55030556, 1.75201919 48.04906739, 2.56420046 48.04891518, 2.57795421 49.5526674, 1.73561213 49.55030556))",325
1,170d371b-07d4-4938-9385-1df30f0e7f0e,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2021-12-16T12:03:16Z', 'processingDate': '2021-12-02T11:37:02.927Z', 'azimuthAngle': 180.0768164344372, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'f98006dd-dba0-4c10-ac24-6ea3d832683b', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO4_00834200944942', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [2.3382311179035744, 48.87008447711123], 'workspaceName': 'public-pneo', 'processorName': 'MMCAT', 'correlationId': 'mmcat_c9860de2bcc77cdecc3c0b9c51c15dbe', 'publicationDate': '2021-12-02T11:44:16.509935198Z', 'illuminationElevationAngle': 18.995485500077404, 'productType': 'mono', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2031-12-14T12:02:23.501189005Z', 'incidenceAngleAcrossTrack': 0.19765801642770997, 'illuminationAzimuthAngle': 169.70734257677648, 'incidenceAngleAlongTrack': -6.6227863032100505, 'incidenceAngle': 6.626005721516664, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",170d371b-07d4-4938-9385-1df30f0e7f0e,airbus,2021-12-02 10:57:38.497000+00:00,,,67.3,0.3,HOURS,367200,1,204.65473923845167,"POLYGON ((2.24148522 48.93489155, 2.24175359 48.80804456, 2.24175504 48.80726469, 2.24175986 48.80518407999998, 2.4347408 48.80510993, 2.4347455 48.8071965, 2.43474774 48.80798009, 2.43497701 48.93503372, 2.24148522 48.93489155))",281
2,f826217e-03fb-4278-8724-4706f4f997e1,pneo,pneo,oneatlas,"{'commercialReference': '000017227', 'qualified': False, 'lastUpdateDate': '2022-06-27T12:14:00Z', 'processingDate': '2022-04-14T07:21:11.84Z', 'azimuthAngle': 350.73691452329984, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'b68bf66c-5dcb-410b-99e8-11f3e5e81139', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_00719400557345', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_EUcities_2', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.847964769191464, 'lon': 2.295205691158531}, 'workspaceName': 'public-pneo', 'processorName': 'SPICYv1.1.12', 'correlationId': 'PWOI_000017227_9_1_I_1', 'publicationDate': '2022-04-14T07:39:15.003991503Z', 'illuminationElevationAngle': 32.93783705036682, 'productType': 'bundle', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2023-06-27T12:14:00Z', 'incidenceAngleAcrossTrack': -7.4089441373832114, 'illuminationAzimuthAngle': 170.35349037728488, 'format': 'SAFIR', 'internalLine': '9_1', 'incidenceAngleAlongTrack': -30.798639683036363, 'internalReference': 'SAL22013843', 'incidenceAngle': 31.12426146226471, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",f826217e-03fb-4278-8724-4706f4f997e1,airbus,2021-10-14 11:04:27.496000+00:00,,,0.0,0.37,MINUTES,966420,2,537.2968795145275,"POLYGON ((2.18431843 49.00059036, 2.18399541 48.705383279999985, 2.40641597 48.69554195, 2.40609319 48.99314191, 2.18431843 49.00059036))",244
3,41e00b84-80f4-45fa-8d94-a24228c3f4a4,phr,phr,oneatlas,"{'commercialReference': 'SO22060689', 'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202210211102293_FR1_PX_E002N48_0224_01724', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-10-25T00:06:45.597414243Z', 'processingDate': '2022-10-22T03:39:39.204', 'parentIdentifier': 'DS_PHR1B_202210211103063_FR1_PX_E002N48_0224_01728', 'azimuthAngle': 180.0076991631926, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '15882c25-8e6f-481c-aaec-941e16658ff4', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'customerReference': 'C301000', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.98807539370952, 'lon': 2.126170765468589}, 'workspaceName': 'public', 'processorName': 'DRS-MM V2.9vV2.9', 'correlationId': '0a0a37e5-472e-4f02-a1ae-6ee175bb8dee', 'publicationDate': '2022-10-25T00:06:45.597414243Z', 'illuminationElevationAngle': 29.98737078776644, 'productType': 'bundle', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2023-10-25T00:06:45.597422753Z', 'incidenceAngleAcrossTrack': -5.024221829090946, 'illuminationAzimuthAngle': 170.6084311693724, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 1.927538719364556, 'incidenceAngle': 5.377757906965842, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202210211103063_FR1_PX_E002N48_0224_01728', 'organisationName': 'AIRBUS DS GEO'}",41e00b84-80f4-45fa-8d94-a24228c3f4a4,airbus,2022-10-21 11:03:06.306000+00:00,,,12.73,0.5,MINUTES,287000,3,385.25290300469953,"POLYGON ((2.26430932 49.07405057, 1.98803221 49.07329895, 1.98822323 48.90203428, 2.26405828 48.90239862, 2.26430932 49.07405057))",39
4,4cd5bfe4-40a1-427f-969f-4a113330880f,pneo,pneo,oneatlas,"{'commercialReference': '000035403', 'qualified': False, 'lastUpdateDate': '2022-08-04T16:23:39Z', 'processingDate': '2022-08-04T16:16:55.298Z', 'azimuthAngle': 239.69880230004625, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '4a50de28-6132-4e53-8014-3246c5271d76', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_00726800597751', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_Worldcities_15', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.78575100109915, 'lon': 2.075400798079094}, 'workspaceName': 'public-pneo', 'processorName': 'SPICYv1.2.4', 'correlationId': 'PWOI_000035403_1_1_I_1', 'publicationDate': '2022-08-04T16:21:30.623312415Z', 'illuminationElevationAngle': 31.09635530290458, 'productType': 'bundle', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2023-08-04T16:23:39Z', 'incidenceAngleAcrossTrack': -8.058426151182141, 'illuminationAzimuthAngle': 169.86139091732423, 'format': 'SAFIR', 'internalLine': '1_1', 'incidenceAngleAlongTrack': 4.885074841325558, 'internalReference': 'SAL22029556', 'incidenceAngle': 9.343107346844237, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",4cd5bfe4-40a1-427f-969f-4a113330880f,airbus,2021-10-19 11:01:43.260000+00:00,,,0.0,0.31,MINUTES,222714,4,156.82877530956006,"POLYGON ((1.97738594 48.83363262, 1.97738253 48.73599752, 2.17332499 48.73724949999998, 2.17341907 48.83545423, 1.97738594 48.83363262))",115
5,68d99419-982d-4593-8060-fd2561fa8c18,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT7_202206191039507_FR1_GS1_FR1_GS1_E002N49_01790', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-07-03T11:02:29.389118416Z', 'processingDate': '2022-06-19T10:59:12.8Z', 'parentIdentifier': 'DS_SPOT7_202206191039507_FR1_GS1_FR1_GS1_E002N49_01790', 'azimuthAngle': 179.98259998212663, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'b3d155e5-15b5-464b-a194-f9e077a6a26b', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 49.28768791535278, 'lon': 2.1637813872677008}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '181804db-d1f5-4b80-b8d9-18353143736a', 'publicationDate': '2022-07-03T11:02:29.389118416Z', 'illuminationElevationAngle': 60.508993732535494, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-06-30T11:02:04.536983135Z', 'incidenceAngleAcrossTrack': -12.659212803514404, 'illuminationAzimuthAngle': 144.80160451234568, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -13.538695362544042, 'incidenceAngle': 17.773602214619892, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT7_202206191039507_FR1_GS1_FR1_GS1_E002N49_01790', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",68d99419-982d-4593-8060-fd2561fa8c18,airbus,2022-06-19 10:39:50.749000+00:00,,,98.5856242840779,1.5,HOURS,50757,5,3802.142600942423,"POLYGON ((1.72035381 49.5673014, 1.72058905 49.03936814, 2.60720897 49.00743732999999, 2.60646554 49.53991153, 1.72035381 49.5673014))",156
6,2e7b5922-d3fa-4f16-be13-f28428d4d824,pneo,pneo,oneatlas,"{'commercialReference': '000017245', 'qualified': False, 'lastUpdateDate': '2022-06-28T13:16:29Z', 'processingDate': '2022-04-13T14:37:54.716Z', 'azimuthAngle': 278.5677300760976, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '739daa13-050d-4ad9-83f8-5b02acef4fe4', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_00626800410897', 'sensorType': 'OPTICAL', 'customerReference': 'BP_PNEO_BO_OA_LL_EUcities_2', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 48.849446469018666, 'lon': 2.452016371130642}, 'workspaceName': 'public-pneo', 'processorName': 'SPICYv1.1.12', 'correlationId': 'PWOI_000017245_4_1_I_1', 'publicationDate': '2022-04-13T15:13:09.657912789Z', 'illuminationElevationAngle': 40.659559538123176, 'productType': 'bundle', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'expirationDate': '2023-06-28T13:16:29Z', 'incidenceAngleAcrossTrack': -8.92713406971836, 'illuminationAzimuthAngle': 166.2843647554954, 'format': 'SAFIR', 'internalLine': '4_1', 'incidenceAngleAlongTrack': -1.168733697963342, 'internalReference': 'SAL22013858', 'incidenceAngle': 8.998605576816251, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",2e7b5922-d3fa-4f16-be13-f28428d4d824,airbus,2021-09-23 11:01:31.383000+00:00,,,0.0,0.3,MINUTES,823536,6,457.8651233475245,"POLYGON ((2.35366228 48.99199255, 2.3538919 48.7075174, 2.55030718 48.7063745, 2.55037046 48.99270768, 2.35366228 48.99199255))",249
7,7768858b-b21c-4db3-bc42-e9915f16ddb6,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT6_202206131034272_GS1_GS1_GS1_GS1_E002N49_01790', 'acquisitionStation': 'GS1', 'archivingCenter': 'GS1', 'lastUpdateDate': '2022-06-27T14:44:13.856418543Z', 'processingDate': '2022-06-13T11:09:16.365Z', 'parentIdentifier': 'DS_SPOT6_202206131034272_GS1_GS1_GS1_GS1_E002N49_01790', 'azimuthAngle': 180.01630050613755, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '0da2e3ca-6dcb-4665-aaa9-39e9deefaae3', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 48.80130683635435, 'lon': 2.160540098608548}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '1eb315cb-c6b3-4bb0-a79c-a01c42e57410', 'publicationDate': '2022-06-27T14:44:13.856418543Z', 'illuminationElevationAngle': 60.22310285042917, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-06-24T12:37:08.033809822Z', 'incidenceAngleAcrossTrack': -7.304711012072687, 'illuminationAzimuthAngle': 142.79025309806778, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -17.28344184596834, 'incidenceAngle': 18.301659213197976, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT6_202206131034272_GS1_GS1_GS1_GS1_E002N49_01790', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",7768858b-b21c-4db3-bc42-e9915f16ddb6,airbus,2022-06-13 10:34:27.249000+00:00,,,3.545704766043749,1.5,HOURS,730064,7,3775.2373729998158,"POLYGON ((1.72678702 49.07844606, 1.72846042 48.54759452, 2.59358446 48.52356336, 2.59429317 49.05961466999999, 1.72678702 49.07844606))",170
8,299a308d-9c44-4247-8f7a-9bc778439785,phr,phr,oneatlas,"{'commercialReference': 'SO22060660', 'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202210211102183_FR1_PX_E002N49_0502_02747', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-10-24T00:50:53.069811348Z', 'processingDate': '2022-10-22T01:16:00.805', 'parentIdentifier': 'DS_PHR1B_202210211102553_FR1_PX_E002N49_0502_02751', 'azimuthAngle': 180.0227704138028, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '5904c117-1b49-46b0-9692-11bb533b0a02', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'customerReference': 'C301000', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 49.05535836325154, 'lon': 2.3625122197514417}, 'workspaceName': 'public', 'processorName': 'DRS-MM V2.9vV2.9', 'correlationId': '519d4ca7-8621-4920-99c6-245e4dbc8d11', 'publicationDate': '2022-10-24T00:50:53.069811348Z', 'illuminationElevationAngle': 29.91357339241068, 'productType': 'bundle', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2023-10-24T00:50:53.069821536Z', 'incidenceAngleAcrossTrack': -4.885526863836877, 'illuminationAzimuthAngle': 170.5999159209041, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -3.436953735444654, 'incidenceAngle': 5.963816465756954, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202210211102553_FR1_PX_E002N49_0502_02751', 'organisationName': 'AIRBUS DS GEO'}",299a308d-9c44-4247-8f7a-9bc778439785,airbus,2022-10-21 11:02:55.305000+00:00,,,6.07,0.5,MINUTES,287900,8,619.098857163505,"POLYGON ((2.2239444 49.19351921, 2.22448582 48.91852789, 2.50064003 48.91728747, 2.50108004 49.19292739, 2.2239444 49.19351921))",40
9,8c5d51b8-1d4c-4837-92ae-dfb0ff0a48da,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT6_202205131023532_FR1_GS1_FR1_GS1_E003N49_03332', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-05-27T12:07:18Z', 'processingDate': '2022-05-13T10:39:10.03Z', 'parentIdentifier': 'DS_SPOT6_202205131023532_FR1_GS1_FR1_GS1_E003N49_03332', 'azimuthAngle': 179.99147845401404, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '4f8dd9f2-d95d-4029-8a74-540af24f5fc1', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 48.56422083404972, 'lon': 2.877116406099059}, 'workspaceName': 'public', 'processorName': 'MMCAT', 'correlationId': '38d42466-5c88-4fd3-9e6a-c5a58aa8b527', 'publicationDate': '2022-05-13T10:42:26.269044302Z', 'illuminationElevationAngle': 55.275598983862814, 'productType': 'mono', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'expirationDate': '2032-05-24T10:52:05.076286416Z', 'incidenceAngleAcrossTrack': 4.5058097909400265, 'illuminationAzimuthAngle': 144.83514241826592, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -10.164503528423458, 'incidenceAngle': 11.00623747475797, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT6_202205131023532_FR1_GS1_FR1_GS1_E003N49_03332', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",8c5d51b8-1d4c-4837-92ae-dfb0ff0a48da,airbus,2022-05-13 10:23:53.249000+00:00,,,1.5960573476702509,1.5,HOURS,255421,9,6949.589839850114,"POLYGON ((2.4548493 49.06777547999999, 2.46147341 48.48368371, 2.46147177 48.47971515, 2.4660152 48.05438243, 3.28998236 48.05874112, 3.29359673 48.48575332, 3.29363712 48.48970224, 3.29938351 49.07595460999999, 2.4548493 49.06777547999999))",210
