experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
0,7-12-24-13-29-5-2-9,2-5-7-9-12-13-24-29,8,6893.414008399572,3.3771278182312043,0.0,0.0
0,7-12-24-13-29-5-2-9,2-5-7-9-12-13-24-29,8,6893.414008399572,3.3771278182312043,0.0,0.0
1,7-11-17-9-24-0-28-18-12-3-27-13-29-2-5,0-2-3-5-7-9-11-12-13-17-18-24-27-28-29,15,11264.006732435071,5.518309278174591,0.0,0.0
2,9-25-23-4-24-12-11-19-14-2-13-3-29-28-27-17-5,2-3-4-5-9-11-12-13-14-17-19-23-24-25-27-28-29,17,12394.958835168913,6.072369980545819,0.0,0.0
3,9-16-12-8-1-11-24-2-17-27-5-29-13,1-2-5-8-9-11-12-13-16-17-24-27-29,13,9996.85166125562,4.897521866352448,0.0,0.0
4,7-14-18-17-24-13-27-5-12-9-2-29,2-5-7-9-12-13-14-17-18-24-27-29,12,9467.066745310203,4.637976831752978,0.0,0.0
5,5-29-0-15-10-27-17-18-24-13-9-12-2,0-2-5-9-10-12-13-15-17-18-24-27-29,13,10017.283525297133,4.907531567836914,0.0,0.0
6,7-18-26-0-17-20-14-2-5-9-12-29-13-24,0-2-5-7-9-12-13-14-17-18-20-24-26-29,14,10398.893622004463,5.0944848063538375,0.0,0.0
7,25-12-17-1-14-11-24-9-29-28-27-5-18-2-13,1-2-5-9-11-12-13-14-17-18-24-25-27-28-29,15,11374.373527552754,5.572378680294758,0.0,0.0
8,21-4-18-6-12-17-20-24-28-27-29-9-5-13-2,2-4-5-6-9-12-13-17-18-20-21-24-27-28-29,15,11201.793856985138,5.4878307907258295,0.0,0.0
9,24-23-9-3-27-1-18-5-12-29-13-2,1-2-3-5-9-12-13-18-23-24-27-29,12,9426.721544063756,4.618211458413222,0.0,0.0
10,16-18-28-24-9-3-13-27-12-17-29-5-2,2-3-5-9-12-13-16-17-18-24-27-28-29,13,10165.531233529731,4.9801590727062415,0.0,0.0
11,24-2-17-13-4-9-6-29-12-8-3-28-5,2-3-4-5-6-8-9-12-13-17-24-28-29,13,10054.560694976082,4.925793892797276,0.0,0.0
12,7-13-5-26-16-24-18-0-2-9-29-12,0-2-5-7-9-12-13-16-18-24-26-29,12,8930.013492274868,4.374870992108468,0.0,0.0
13,15-18-25-12-2-13-14-28-1-11-29-9-17-24-20-27-5,1-2-5-9-11-12-13-14-15-17-18-20-24-25-27-28-29,17,12574.683644358358,6.160418319438623,0.0,0.0
14,29-14-11-20-5-19-8-3-28-1-18-9-13-17-27-24-2-12,1-2-3-5-8-9-11-12-13-14-17-18-19-20-24-27-28-29,18,13194.3181183117,6.463981229859075,0.0,0.0
