image_id,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,cost,incidence_angle,image_id,area,geometry,local_image_id
193,376d05ad-272f-48b6-b903-00a7668d695e,phr,phr,oneatlas,"{'commercialReference': 'SO22003464', 'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202201271305293_FR1_PX_W044S23_1004_04596', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-01-28T04:16:47.456995011Z', 'processingDate': '2022-01-28T03:24:56.980', 'parentIdentifier': 'DS_PHR1B_202201271306063_FR1_PX_W044S23_1004_04600', 'azimuthAngle': 180.0018581357985, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'c205a345-62d0-470e-a02a-923e498d0978', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'customerReference': 'C301000', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': [-43.21563483529059, -22.851364557786887], 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '057ab70b-385a-40e4-8271-85a23b652daf', 'publicationDate': '2022-01-28T04:16:47.456995011Z', 'illuminationElevationAngle': 61.71826136998928, 'productType': 'bundle', 'expirationDate': '2023-01-28T04:16:47.457000735Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 5.964746039724869, 'illuminationAzimuthAngle': 86.74114305605963, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 18.29696986774433, 'incidenceAngle': 19.125228174074, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202201271306063_FR1_PX_W044S23_1004_04600', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",376d05ad-272f-48b6-b903-00a7668d695e,airbus,2022-01-27 13:06:06.306000+00:00,,,0.05,0.5,MINUTES,526230,19.125228174074,0,1208.4427513901699,"POLYGON ((-43.31943447 -22.59189373, -43.31926362 -23.10533918, -43.11206784 -23.11109855, -43.1118352 -22.59924744, -43.31943447 -22.59189373))",193
336,61bf47e8-f28a-4bc4-8dda-778f7fc3d7d3,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202102161309524_FR1_PX_W044S23_0806_03240', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2021-02-17T06:15:29Z', 'processingDate': '2021-02-17T05:27:56.987', 'parentIdentifier': 'DS_PHR1B_202102161309524_FR1_PX_W044S23_0806_03240', 'azimuthAngle': 180.0167264201873, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'ad809bbd-9036-44fc-a54c-6d440311991c', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': [-43.38341486075079, -22.771582359245308], 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '9bb5cbb0-b73f-401a-b6e7-032617c41066', 'publicationDate': '2021-02-16T17:32:18.151430532Z', 'illuminationElevationAngle': 59.90192717015525, 'productType': 'bundle', 'expirationDate': '2031-02-14T17:31:48.777805984Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -0.4135749549473719, 'illuminationAzimuthAngle': 74.62158389297026, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 14.44645758191105, 'incidenceAngle': 14.45188992027403, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202102161309524_FR1_PX_W044S23_0806_03240', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",61bf47e8-f28a-4bc4-8dda-778f7fc3d7d3,airbus,2021-02-16 13:09:52.430000+00:00,,,0.07419505591127427,0.5,MINUTES,307280,14.45188992027403,1,791.2918366803823,"POLYGON ((-43.48384192 -22.60074328, -43.48423698 -22.94447641, -43.28269673 -22.94525028, -43.28259274 -22.59799837, -43.48384192 -22.60074328))",336
173,cd12370b-b4ef-42ce-8e4a-876aefcabe58,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202203181320433_FR1_PX_W044S23_1002_01636', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-04-02T09:51:05Z', 'processingDate': '2022-03-18T22:45:12.085Z', 'parentIdentifier': 'DS_PHR1B_202203181320433_FR1_PX_W044S23_1002_01636', 'azimuthAngle': 180.1308291614867, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '2ff70ac8-d058-4abd-9f59-342420cd9beb', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': -22.93238496363673, 'lon': -43.24792835530267}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': '121cc930-05b2-4c2c-93e7-d4a4064a76f3', 'publicationDate': '2022-03-18T22:47:43.932282099Z', 'illuminationElevationAngle': 57.05880129349075, 'productType': 'mono', 'expirationDate': '2032-03-30T09:47:18.993495561Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -26.62144020811381, 'illuminationAzimuthAngle': 51.69032655768809, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 19.29424439166257, 'incidenceAngle': 31.44093199518588, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202203181320433_FR1_PX_W044S23_1002_01636', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",cd12370b-b4ef-42ce-8e4a-876aefcabe58,airbus,2022-03-18 13:20:43.305000+00:00,,,0.0,0.5,HOURS,513850,31.44093199518588,2,566.1227404302444,"POLYGON ((-43.37465366 -23.04720284, -43.29576652 -23.03687607, -43.12134997 -23.01604183, -43.12120305 -22.99071105, -43.12160625 -22.81753142, -43.23941955 -22.83271217, -43.37426391 -22.85185628, -43.3742141 -22.94073219, -43.37465366 -23.04720284))",173
56,07e802f3-3065-4890-a685-735e2a25ac68,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202209251301350_FR1_PX_W044S23_1204_01769', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-09-25T17:42:34.652740699Z', 'processingDate': '2022-09-25T17:11:39.718Z', 'parentIdentifier': 'DS_PHR1B_202209251301350_FR1_PX_W044S23_1204_01769', 'azimuthAngle': 179.9586929666265, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '639b5d09-b475-41c4-b1bc-99e12a9b0069', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': -22.85140333940024, 'lon': -43.04837008781375}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'd2e66ea6-95cd-48ed-a282-5a823f61de00', 'publicationDate': '2022-09-25T17:42:34.652740699Z', 'illuminationElevationAngle': 56.88370459238244, 'productType': 'mono', 'expirationDate': '2032-09-22T17:42:04.946245857Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 17.36266468141817, 'illuminationAzimuthAngle': 52.54112315054938, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 0.9798863076791154, 'incidenceAngle': 17.38706040752477, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202209251301350_FR1_PX_W044S23_1204_01769', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",07e802f3-3065-4890-a685-735e2a25ac68,airbus,2022-09-25 13:01:35.055000+00:00,,,58.71919000158203,0.5,HOURS,16430,17.38706040752477,3,448.9866235650972,"POLYGON ((-43.15561214 -22.75874883, -43.15530852 -22.94399489, -43.09812996 -22.94348577, -42.94146031 -22.9440281, -42.94112803 -22.76043432, -43.00835141 -22.7593302, -43.15561214 -22.75874883))",56
135,59530c13-f8ee-475b-9fcc-ed40db83691d,phr,phr,oneatlas,"{'commercialReference': 'SO22027749', 'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202205301309216_FR1_PX_W044S23_1002_01498', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-06-01T09:09:04.556884485Z', 'processingDate': '2022-06-01T08:04:18.552', 'parentIdentifier': 'DS_PHR1B_202205301309586_FR1_PX_W044S23_1002_01502', 'azimuthAngle': 180.0155490248121, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '474caa40-3511-4a0f-8f8c-b0d6ac02faf4', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'customerReference': 'C301000', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': -22.932197229008565, 'lon': -43.24791092042375}, 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '2eb1a0c7-6578-4d30-b722-68cb402e31e3', 'publicationDate': '2022-06-01T09:09:04.556884485Z', 'illuminationElevationAngle': 38.99456618413404, 'productType': 'bundle', 'expirationDate': '2023-06-01T09:09:04.556910708Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -4.040361816669783, 'illuminationAzimuthAngle': 30.80725551392528, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 23.67161206469207, 'incidenceAngle': 23.94278279854958, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202205301309586_FR1_PX_W044S23_1002_01502', 'organisationName': 'AIRBUS DS GEO'}",59530c13-f8ee-475b-9fcc-ed40db83691d,airbus,2022-05-30 13:09:58.681000+00:00,,,9.9,0.5,MINUTES,420500,23.94278279854958,4,427.0250532307586,"POLYGON ((-43.35444327 -22.84736334, -43.35449919 -23.02345802, -43.14132418 -23.01754992, -43.14132265 -22.84090629, -43.35444327 -22.84736334))",135
88,8888d271-efeb-4f9c-b34e-b4d2e4da35c0,pneo,pneo,oneatlas,"{'commercialReference': '000035970', 'qualified': False, 'lastUpdateDate': '2022-08-09T19:52:49Z', 'processingDate': '2022-08-09T19:39:45.093Z', 'azimuthAngle': 117.18263826780058, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'e300e3ef-cc83-4737-828d-404b03688051', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_00512100203304', 'customerReference': 'BP_PNEO_BO_OA_LL_Worldcities_19', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': -22.920323316322907, 'lon': -43.19331023185323}, 'processorName': 'SPICYv1.2.4', 'workspaceName': 'public-pneo', 'correlationId': 'PWOI_000035970_9_1_I_1', 'publicationDate': '2022-08-09T19:48:47.60694809Z', 'illuminationElevationAngle': 44.64930956353227, 'productType': 'bundle', 'expirationDate': '2023-08-09T19:52:49Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': 8.185039496817915, 'illuminationAzimuthAngle': 39.53049765269691, 'format': 'SAFIR', 'internalLine': '9_1', 'internalReference': 'SAL22030068', 'incidenceAngleAlongTrack': 4.071028968468393, 'incidenceAngle': 9.08708199980027, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",8888d271-efeb-4f9c-b34e-b4d2e4da35c0,airbus,2021-08-18 13:05:54.476000+00:00,,,0.0,0.31,MINUTES,479880,9.08708199980027,5,315.1749982141393,"POLYGON ((-43.26378443 -22.82132968, -43.26371458 -23.01825777, -43.12286296 -23.01933408, -43.12283604 -22.82245668, -43.26378443 -22.82132968))",88
252,8f6695dc-a679-45f0-9677-c502143f79ec,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202110081310239_FR1_PX_W044S24_0624_01754', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2021-10-08T21:22:46Z', 'processingDate': '2021-10-08T15:56:51.740Z', 'parentIdentifier': 'DS_PHR1B_202110081310239_FR1_PX_W044S24_0624_01754', 'azimuthAngle': 179.9609661622704, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'c4daa6a1-53a5-42d3-919b-7741d8a14a7e', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [-43.55107405759999, -23.014993561374105], 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'mmcat_e6ba9c45dfe49c51211432e24c5b3f3b', 'publicationDate': '2021-10-08T17:38:34.514621321Z', 'illuminationElevationAngle': 62.2653234651595, 'productType': 'mono', 'expirationDate': '2031-10-06T21:18:24.628674587Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 1.375082248329992, 'illuminationAzimuthAngle': 56.27859334694602, 'incidenceAngleAlongTrack': 11.74649366202313, 'incidenceAngle': 11.82231617012785, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202110081310239_FR1_PX_W044S24_0624_01754', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",8f6695dc-a679-45f0-9677-c502143f79ec,airbus,2021-10-08 13:10:23.931000+00:00,,,98.09720513832528,0.5,HOURS,345450,11.82231617012785,6,414.15837284464186,"POLYGON ((-43.65120265 -23.10582518, -43.59797633 -23.10553637, -43.45094546 -23.10665114, -43.45094836 -22.92473597, -43.46519609 -22.92492558, -43.47480215 -22.9248192, -43.49430803 -22.92414673, -43.52383115 -22.923485, -43.65104916 -22.92331455, -43.65120265 -23.10582518))",252
257,6f1c70dd-3a71-4506-b6b5-32610a9de556,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202110071317121_FR1_PX_W044S23_1004_02032', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2021-10-07T17:19:53.320240352Z', 'processingDate': '2021-10-07T16:24:41.528Z', 'parentIdentifier': 'DS_PHR1A_202110071317121_FR1_PX_W044S23_1004_02032', 'azimuthAngle': 179.9951754845724, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '1a2f9d8f-dc24-453d-b5d3-b5414f54d7b4', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [-43.207671274477285, -22.86312179408732], 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'mmcat_6e123a8fd2c36c8ffc8c69a6b5fd5c4c', 'publicationDate': '2021-10-07T17:19:53.320240352Z', 'illuminationElevationAngle': 63.62574290421341, 'productType': 'mono', 'expirationDate': '2031-10-05T17:18:27.830054433Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -14.32104032092897, 'illuminationAzimuthAngle': 52.98854178665654, 'incidenceAngleAlongTrack': -6.325401089139064, 'incidenceAngle': 15.55271701066209, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202110071317121_FR1_PX_W044S23_1004_02032', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",6f1c70dd-3a71-4506-b6b5-32610a9de556,airbus,2021-10-07 13:17:12.180000+00:00,,,66.3,0.5,HOURS,298150,15.55271701066209,7,502.64835917585015,"POLYGON ((-43.3130371 -22.96487975, -43.2982246 -22.96511798, -43.10230545 -22.97144116, -43.10274013 -22.75924492, -43.16873941 -22.75725699, -43.3111533 -22.75479063, -43.31205133 -22.91900824, -43.31224045 -22.93744684, -43.31294571 -22.95566673, -43.3130371 -22.96487975))",257
133,ef204c7a-c68d-4637-8ba3-fc6b83e3333a,phr,phr,oneatlas,"{'commercialReference': 'SO22029586', 'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202206051312159_FR1_PX_W044S23_0404_01783', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-06-06T21:36:49.538044787Z', 'processingDate': '2022-06-06T20:54:05.586', 'parentIdentifier': 'DS_PHR1A_202206051312529_FR1_PX_W044S23_0404_01787', 'azimuthAngle': 179.9346431972355, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '160ecde9-5968-47c9-84da-9aa985d2a85f', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'customerReference': 'C301000', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': -22.850922651409594, 'lon': -43.7178869425005}, 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': 'bc3bcf1d-1c3b-4d5b-b00c-5ace0fd165e3', 'publicationDate': '2022-06-06T21:36:49.538044787Z', 'illuminationElevationAngle': 38.42268479425395, 'productType': 'bundle', 'expirationDate': '2023-06-06T21:36:49.538050375Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -1.242205258299992, 'illuminationAzimuthAngle': 30.30610214744683, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -6.642271009979062, 'incidenceAngle': 6.755395781607953, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1A_202206051312529_FR1_PX_W044S23_0404_01787', 'organisationName': 'AIRBUS DS GEO'}",ef204c7a-c68d-4637-8ba3-fc6b83e3333a,airbus,2022-06-05 13:12:52.931000+00:00,,,1.46,0.5,MINUTES,144920,6.755395781607953,8,405.23388192981935,"POLYGON ((-43.8163927 -22.760141, -43.81656256 -22.94112925, -43.61921132 -22.94168389, -43.61936547 -22.76105728, -43.8163927 -22.760141))",133
8,e9d72db2-21fd-471c-b757-0d344ba87a07,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202212241309055_FR1_PX_W044S24_1224_01788', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-12-26T08:32:58.845583547Z', 'processingDate': '2022-12-24T17:37:22.881Z', 'parentIdentifier': 'DS_PHR1B_202212241309055_FR1_PX_W044S24_1224_01788', 'azimuthAngle': 180.0241618691505, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '2f79a205-5e2d-4c21-bcc1-8ff60d724fc8', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': -23.014046128018627, 'lon': -43.048539828639306}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': '44bc4d28-11a0-4f88-97dd-38337b7b5b92', 'publicationDate': '2022-12-26T08:32:58.845583547Z', 'illuminationElevationAngle': 66.4044386686404, 'productType': 'mono', 'expirationDate': '2032-12-23T08:32:08.789200281Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 0.2566481865735553, 'illuminationAzimuthAngle': 96.39217500189191, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -3.9168601586714, 'incidenceAngle': 3.925207292343234, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202212241309055_FR1_PX_W044S24_1224_01788', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",e9d72db2-21fd-471c-b757-0d344ba87a07,airbus,2022-12-24 13:09:05.555000+00:00,,,34.3,0.5,HOURS,3750,3.925207292343234,9,400.554090789798,"POLYGON ((-43.00260962 -22.92392954, -43.14671135 -22.9245238, -43.14682434 -23.10414218, -43.09460067 -23.10360632, -42.95025532 -23.1040261, -42.95042296 -22.92438875, -43.00260962 -22.92392954))",8
