experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
0,17-12-7-23-5-11-1-4,1-4-5-7-11-12-17-23,8,8923.934219461089,3.1801524680020457,0.0,0.0
0,17-12-7-23-5-11-1-4,1-4-5-7-11-12-17-23,8,8923.934219461089,3.1801524680020457,0.0,0.0
1,0-23-9-2-12-13-11-22-6-10-5-1,0-1-2-5-6-9-10-11-12-13-22-23,12,16535.926779644007,5.892778573412848,0.0,0.0
2,22-5-0-21-12-28-7-13-16-6-11-17-1,0-1-5-6-7-11-12-13-16-17-21-22-28,13,16453.09627874623,5.863260917256053,0.0,0.0
3,27-10-12-25-26-14-9-8-2-16-23-1-7-0,0-1-2-7-8-9-10-12-14-16-23-25-26-27,14,16763.973995175296,5.974045971564581,0.0,0.0
4,11-23-19-6-29-4-12-1-17,1-4-6-11-12-17-19-23-29,9,10344.630941062092,3.6864350194387243,0.0,0.0
5,22-13-14-23-16-17-5-25-0-29-12-1,0-1-5-12-13-14-16-17-22-23-25-29,12,14623.47598141935,5.21125347738027,0.0,0.0
6,2-8-16-20-3-0-23-28-5-11-24-1-10,0-1-2-3-5-8-10-11-16-20-23-24-28,13,17433.206368074334,6.2125350650521245,0.0,0.0
7,11-21-12-26-28-10-17-29-6-1,1-6-10-11-12-17-21-26-28-29,10,12755.334442845751,4.545518524794443,0.0,0.0
8,15-24-7-12-11-1-28-16-4-6-10,1-4-6-7-10-11-12-15-16-24-28,11,13129.779411379519,4.678956542324509,0.0,0.0
9,21-11-17-10-6-29-1,1-6-10-11-17-21-29,7,10768.74807274156,3.837574316285072,0.0,0.0
10,8-9-20-5-3-12-13-7-0-21-22-11-6-17-1,0-1-3-5-6-7-8-9-11-12-13-17-20-21-22,15,19010.643775650376,6.774674065794853,0.0,0.0
11,7-22-16-1-28-24-8-2-21-17-0-4,0-1-2-4-7-8-16-17-21-22-24-28,12,14707.076069427896,5.241045385261637,0.0,0.0
12,16-23-24-20-22-21-13-3-17-6-10-8-7-1-11,1-3-6-7-8-10-11-13-16-17-20-21-22-23-24,15,18421.912295408605,6.564872444241166,0.0,0.0
13,29-7-14-5-4-21-13-8-10-0-1,0-1-4-5-7-8-10-13-14-21-29,11,14528.995487619592,5.177584204596959,0.0,0.0
14,7-4-26-10-14-17-5-19-2-8-29-24-6-1-18-28-0,0-1-2-4-5-6-7-8-10-14-17-18-19-24-26-28-29,17,19275.623517486463,6.869102818769397,0.0,0.0
15,25-15-10-16-24-6-5-18-2-21-12-17-11-1,1-2-5-6-10-11-12-15-16-17-18-21-24-25,14,16560.922916804302,5.90168625082574,0.0,0.0
16,6-3-13-18-0-11-17-29-12-1,0-1-3-6-11-12-13-17-18-29,10,13654.00057781712,4.865769129153071,0.0,0.0
17,1-21-25-6-24-8-16-13-17-11,1-6-8-11-13-16-17-21-24-25,10,13610.397180812268,4.8502305284431,0.0,0.0
18,11-27-5-12-21-23-13-18-22-10-6-1,1-5-6-10-11-12-13-18-21-22-23-27,12,14196.767842313377,5.059190843532621,0.0,0.0
19,26-7-16-0-23-6-12-17-13-29-5-1,0-1-5-6-7-12-13-16-17-23-26-29,12,13146.982822003794,4.6850871868821,0.0,0.0
20,27-1-4-15-6-11-10,1-4-6-10-11-15-27,7,10276.131883939273,3.662024547531627,0.0,0.0
21,29-9-10-8-28-3-24-2-11-12-1,1-2-3-8-9-10-11-12-24-28-29,11,13288.02703036431,4.735350005531853,0.0,0.0
22,20-7-24-29-12-8-16-23-28-5-13-11-10-1,1-5-7-8-10-11-12-13-16-20-23-24-28-29,14,15817.861389976453,5.636887240623976,0.0,0.0
23,19-22-8-17-28-12-7-25-6-2-5-16-23-10-11-1,1-2-5-6-7-8-10-11-12-16-17-19-22-23-25-28,16,19355.096610811925,6.897424021914033,0.0,0.0
24,23-5-8-14-22-12-0-11-6-17-13-1,0-1-5-6-8-11-12-13-14-17-22-23,12,16251.14505111497,5.791293141701744,0.0,0.0
25,29-25-14-7-24-5-10-19-12-18-23-0-17-1,0-1-5-7-10-12-14-17-18-19-23-24-25-29,14,16490.783982967452,5.8766913889118255,0.0,0.0
26,4-26-5-20-12-18-6-8-2-19-23-3-16-13-21-17-25-7-1-11,1-2-3-4-5-6-7-8-11-12-13-16-17-18-19-20-21-23-25-26,20,20578.52503859582,7.333407618202328,0.0,0.0
27,15-25-6-4-9-5-8-0-7-13-23-29-17-12-1,0-1-4-5-6-7-8-9-12-13-15-17-23-25-29,15,17420.258512823446,6.207920939396463,0.0,0.0
28,12-14-9-22-8-7-28-10-17-0-6-1,0-1-6-7-8-9-10-12-14-17-22-28,12,16376.458551667949,5.835950131349701,0.0,0.0
29,3-27-25-13-17-21-1-28-11,1-3-11-13-17-21-25-27-28,9,11404.994586818604,4.064308497896061,0.0,0.0
30,14-2-11-21-22-13-19-5-9-10-29-1,1-2-5-9-10-11-13-14-19-21-22-29,12,13855.181814954383,4.93746250923229,0.0,0.0
31,3-5-12-7-18-2-16-6-24-11-10-1,1-2-3-5-6-7-10-11-12-16-18-24,12,13485.112847124465,4.805583932762196,0.0,0.0
32,7-12-13-9-0-21-24-11-16-23-10-6-1,0-1-6-7-9-10-11-12-13-16-21-23-24,13,16677.268632621835,5.943147461341133,0.0,0.0
33,8-4-13-5-29-22-25-21-11-17-12-6-1,1-4-5-6-8-11-12-13-17-21-22-25-29,13,16413.052004621495,5.848990653260896,0.0,0.0
34,27-0-28-22-17-10-1,0-1-10-17-22-27-28,7,11713.304251621517,4.17417839578187,0.0,0.0
35,13-2-19-29-22-5-20-25-7-10-11-12-17-6-1,1-2-5-6-7-10-11-12-13-17-19-20-22-25-29,15,18538.325620640517,6.6063577481934574,0.0,0.0
36,8-7-29-23-22-17-1-4-24-21-25-16-11,1-4-7-8-11-16-17-21-22-23-24-25-29,13,15496.1515606104,5.5222420311593154,0.0,0.0
37,10-8-19-29-23-24-12-16-0-17-6-1,0-1-6-8-10-12-16-17-19-23-24-29,12,15738.458898097057,5.60859119716311,0.0,0.0
