image_id,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,cost,incidence_angle,image_id,area,geometry,local_image_id
421,a1a92ca1-1efc-40c1-bfc9-0d2895ebc033,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202109230137099_FR1_PX_E139N35_1017_01728', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2021-10-08T19:11:49Z', 'processingDate': '2021-09-24T09:48:12.360Z', 'parentIdentifier': 'DS_PHR1A_202109230137099_FR1_PX_E139N35_1017_01728', 'azimuthAngle': 179.9797821084554, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '8ab048e3-b95e-4f92-a046-4b94d595d11f', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': None, 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': [139.7656005160105, 35.70105158335358], 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'mmcat_9467b6109d776814c04e8a06fb5beab4', 'publicationDate': '2021-09-24T12:22:39.410003994Z', 'illuminationElevationAngle': 52.0413204351179, 'productType': 'mono', 'expirationDate': '2031-10-06T19:07:47.308098948Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -1.017872566521609, 'illuminationAzimuthAngle': 156.694943094148, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -6.772809796055197, 'incidenceAngle': 6.847470135337142, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202109230137099_FR1_PX_E139N35_1017_01728', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",a1a92ca1-1efc-40c1-bfc9-0d2895ebc033,airbus,2021-09-23 01:37:09.930000+00:00,,,28.2,0.5,HOURS,235130,6.847470135337142,0,386.1886514438048,"POLYGON ((139.65476171 35.61439781, 139.72451271 35.61489386, 139.87642431 35.61391675, 139.87664031 35.78727977, 139.78480479 35.7881479, 139.65456072 35.78764027, 139.65476171 35.61439781))",421
69,ef0120e5-2e0b-415b-861e-ed57440cb1c4,phr,phr,oneatlas,"{'commercialReference': 'SO22062603', 'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202211080125099_FR1_PX_E140N35_0415_06484', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-11-08T22:25:01.391090252Z', 'processingDate': '2022-11-08T20:54:37.939', 'parentIdentifier': 'DS_PHR1A_202211080125469_FR1_PX_E140N35_0415_06488', 'azimuthAngle': 179.995798672365, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'db6e1d7e-c501-4933-b1d2-79d9016eb2e7', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': '', 'customerReference': 'C301000', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 35.61532333805438, 'lon': 140.258359661355}, 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': 'd88d8c57-635f-4e18-a854-ee2778fa41c9', 'publicationDate': '2022-11-08T22:25:01.391090252Z', 'illuminationElevationAngle': 36.28495534109625, 'productType': 'bundle', 'expirationDate': '2023-11-08T22:25:01.391101932Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 15.59108355343407, 'illuminationAzimuthAngle': 162.778527551339, 'format': 'image/jp2', 'incidenceAngleAlongTrack': 1.849203638117069, 'incidenceAngle': 15.68999287966613, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1A_202211080125469_FR1_PX_E140N35_0415_06488', 'organisationName': 'AIRBUS DS GEO'}",ef0120e5-2e0b-415b-861e-ed57440cb1c4,airbus,2022-11-08 01:25:46.930000+00:00,,,0.0,0.5,MINUTES,86560,15.68999287966613,1,1595.3508793663298,"POLYGON ((140.13877412 35.95248975, 140.14164473 35.27898399, 140.37562547 35.27992134, 140.3779452 35.94811895, 140.13877412 35.95248975))",69
298,a4388990-7187-4791-b588-d4601bd0cee2,phr,phr,oneatlas,"{'commercialReference': 'SO22009077', 'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202202270128221_FR1_PX_E139N35_1017_01724', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-03-01T14:24:53.229468404Z', 'processingDate': '2022-03-01T13:26:15.215', 'parentIdentifier': 'DS_PHR1B_202202270128591_FR1_PX_E139N35_1017_01728', 'azimuthAngle': 179.9734477733786, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '8be7049c-10d0-4193-a492-3604bdf34935', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'customerReference': 'C301000', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': [139.76582966224365, 35.701421303223654], 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': '8826f185-1c53-4ce5-bff6-3c79022e49c1', 'publicationDate': '2022-03-01T14:24:53.229468404Z', 'illuminationElevationAngle': 41.7482551277583, 'productType': 'bundle', 'expirationDate': '2023-03-01T14:24:53.229474561Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 12.68301201699173, 'illuminationAzimuthAngle': 151.3816533807187, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -0.7001671121648229, 'incidenceAngle': 12.70109254524263, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202202270128591_FR1_PX_E139N35_1017_01728', 'organisationName': 'AIRBUS DS GEO'}",a4388990-7187-4791-b588-d4601bd0cee2,airbus,2022-02-27 01:28:59.180000+00:00,,,0.0,0.5,MINUTES,244590,12.70109254524263,2,404.3430671881903,"POLYGON ((139.64995758 35.78875635, 139.65064194 35.61398147, 139.88115495 35.61509642, 139.88170175 35.78876042, 139.64995758 35.78875635))",298
182,fa696c87-e735-4d55-9115-aa904b40f3ba,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202207080122053_FR1_PX_E139N35_1017_01654', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-07-22T23:07:18.432406193Z', 'processingDate': '2022-07-08T22:50:25.71Z', 'parentIdentifier': 'DS_PHR1A_202207080122053_FR1_PX_E139N35_1017_01654', 'azimuthAngle': 179.9741119056171, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '0e0ea975-b9e4-435e-9094-6090b6e70b0f', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.70056398774397, 'lon': 139.76579242730548}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': '0855d198-3942-4b26-b540-e39d5920b9ec', 'publicationDate': '2022-07-22T23:07:18.432406193Z', 'illuminationElevationAngle': 67.56847697683212, 'productType': 'mono', 'expirationDate': '2032-07-19T23:07:04.996116034Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 25.65474925654854, 'illuminationAzimuthAngle': 119.8349057116488, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 2.987916981352839, 'incidenceAngle': 25.78626001273355, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202207080122053_FR1_PX_E139N35_1017_01654', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",fa696c87-e735-4d55-9115-aa904b40f3ba,airbus,2022-07-08 01:22:05.305000+00:00,,,98.36927018869564,0.5,HOURS,294950,25.78626001273355,3,484.14512954021944,"POLYGON ((139.63209728 35.61167415, 139.7435559 35.61115337, 139.89965964 35.60852652, 139.89962345 35.62318117, 139.90048203 35.78691564, 139.79004978 35.79000545, 139.63110282 35.79252217, 139.63209728 35.61167415))",182
132,cd42c283-5fb2-4b69-a4dd-32820d1dd260,pneo,pneo,oneatlas,"{'commercialReference': '000037643', 'qualified': False, 'lastUpdateDate': '2022-08-21T20:21:49Z', 'processingDate': '2022-08-21T20:05:43.925Z', 'azimuthAngle': 113.38719987379528, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '931f3ecd-e0b9-4177-9018-5313967cfc5a', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_01826203399492', 'customerReference': 'BP_PNEO_BO_OA_LL_Worldcities_28', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 35.65706850671871, 'lon': 139.81477544949968}, 'processorName': 'SPICYv1.2.6', 'workspaceName': 'public-pneo', 'correlationId': 'PWOI_000037643_9_1_I_1', 'publicationDate': '2022-08-21T20:16:32.852593565Z', 'illuminationElevationAngle': 64.48447952926684, 'productType': 'bundle', 'expirationDate': '2023-08-21T20:21:49Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': 23.874792779033903, 'illuminationAzimuthAngle': 126.86516829307669, 'format': 'SAFIR', 'internalLine': '9_1', 'internalReference': 'SAL22031464', 'incidenceAngleAlongTrack': 10.714601923600657, 'incidenceAngle': 25.196168011709734, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",cd42c283-5fb2-4b69-a4dd-32820d1dd260,airbus,2022-08-01 01:21:58.167000+00:00,,,1.3470075557190107,0.34,MINUTES,638046,25.196168011709734,4,474.8487996707859,"POLYGON ((139.72201585 35.79033569, 139.72285805 35.53331848, 139.90643641 35.52387836, 139.90753505 35.77904083, 139.72201585 35.79033569))",132
164,d41bdc41-5f02-4ee5-90d0-900a5df278fd,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202208080132526_FR1_PX_E140N35_0109_01804', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-08-08T20:00:04.093360239Z', 'processingDate': '2022-08-08T03:27:20.881Z', 'parentIdentifier': 'DS_PHR1A_202208080132526_FR1_PX_E140N35_0109_01804', 'azimuthAngle': 180.0269916495045, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'edb3a91b-9a10-48af-8efc-98988a77db04', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.3688278797612, 'lon': 140.067309563888}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'a2465b3e-06a5-4644-882b-4ad6e898d7e0', 'publicationDate': '2022-08-08T20:00:04.093360239Z', 'illuminationElevationAngle': 64.89466665000114, 'productType': 'mono', 'expirationDate': '2032-08-05T15:07:10.46424725Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 5.490131356812552, 'illuminationAzimuthAngle': 134.5244213117358, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -15.17495686855489, 'incidenceAngle': 16.05325608165758, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202208080132526_FR1_PX_E140N35_0109_01804', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",d41bdc41-5f02-4ee5-90d0-900a5df278fd,airbus,2022-08-08 01:32:52.680000+00:00,,,44.6,0.5,HOURS,136830,16.05325608165758,5,440.9272184391036,"POLYGON ((139.95339267 35.27066478, 139.96976808 35.27135022, 139.99169393 35.27181305, 140.02541962 35.27313552, 140.04775126 35.27342583, 140.18154356 35.2758369, 140.18177744 35.4669626, 140.07596214 35.46554144, 139.95284169 35.46220918, 139.95339267 35.27066478))",164
489,efa757d5-5313-40c5-89ce-c6c4d72ee513,phr,phr,oneatlas,"{'commercialReference': 'SO21047843', 'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202107200136235_FR1_PX_E139N35_0908_03236', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2021-07-20T21:33:00.524437591Z', 'processingDate': '2021-07-20T20:07:13.310', 'parentIdentifier': 'DS_PHR1B_202107200137005_FR1_PX_E139N35_0908_03240', 'azimuthAngle': 180.0279230352492, 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '54f4cd6f-3e79-4bda-9c2f-3f3dcba4cc42', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': None, 'customerReference': 'C301000', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': [139.6917271714369, 35.292018794274455], 'processorName': 'DRS-MM V2.9vV2.9', 'workspaceName': 'public', 'correlationId': 'ce633344-4ff1-404a-b043-fca7fd931db8', 'publicationDate': '2021-07-20T21:33:00.524437591Z', 'illuminationElevationAngle': 68.78882184887536, 'productType': 'bundle', 'expirationDate': '2022-07-20T21:33:00.524442284Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 0.5490143776575643, 'illuminationAzimuthAngle': 128.3486109270223, 'format': 'image/jp2', 'incidenceAngleAlongTrack': -14.07524056523651, 'incidenceAngle': 14.08510773276842, 'processingCenter': 'FCMUGC', 'archiveIdentifier': 'DS_PHR1B_202107200137005_FR1_PX_E139N35_0908_03240', 'organisationName': 'AIRBUS DS GEO'}",efa757d5-5313-40c5-89ce-c6c4d72ee513,airbus,2021-07-20 01:37:00.555000+00:00,,,10.56,0.5,MINUTES,133230,14.08510773276842,6,777.5590724470933,"POLYGON ((139.57870183 35.46269519, 139.57908837 35.12113639, 139.80432671 35.12168255, 139.80475251 35.46303675, 139.57870183 35.46269519))",489
22,f7ee8c0f-c7b4-4dc5-8ee4-3afb759f21c0,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1B_202212200151420_FR1_PX_E139N35_1017_01654', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-12-20T13:08:00.120597894Z', 'processingDate': '2022-12-20T12:33:11.29Z', 'parentIdentifier': 'DS_PHR1B_202212200151420_FR1_PX_E139N35_1017_01654', 'azimuthAngle': 180.0140136302624, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '141c50b7-3c7b-463c-b21d-bd39fd09e735', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.69647453352026, 'lon': 139.7651286301232}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'e1b81367-b0ae-4465-97c1-df4a4f5162e6', 'publicationDate': '2022-12-20T13:08:00.120597894Z', 'illuminationElevationAngle': 30.00502713687536, 'productType': 'mono', 'expirationDate': '2032-12-17T13:07:09.302304617Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -29.47568507002931, 'illuminationAzimuthAngle': 167.4688394638449, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -9.36410324242732, 'incidenceAngle': 30.48862685299989, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1B_202212200151420_FR1_PX_E139N35_1017_01654', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",f7ee8c0f-c7b4-4dc5-8ee4-3afb759f21c0,airbus,2022-12-20 01:51:42.055000+00:00,,,0.0,0.5,HOURS,339210,30.48862685299989,7,547.4937048060546,"POLYGON ((139.62087011 35.79905204, 139.6200979 35.61218888, 139.64045319 35.61113118, 139.75303143 35.60462639, 139.91007708 35.59381111, 139.91015936 35.60945276, 139.90940726 35.78387724, 139.77462565 35.79181935, 139.62087011 35.79905204))",22
30,c51ff281-17e7-44f8-b490-cea857f8de7b,pneo,pneo,oneatlas,"{'qualified': False, 'lastUpdateDate': '2022-12-15T08:37:21.524042876Z', 'processingDate': '2022-09-15T03:05:06.645Z', 'azimuthAngle': 179.2925562400298, 'title': '', 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '79837d57-8ca2-4ab1-9175-c27c86ea4555', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': 'ACQ_PNEO4_01935104007267', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.60038086040652, 'lon': 139.81625248210145}, 'processorName': 'MMCAT', 'workspaceName': 'public-pneo', 'correlationId': '9946ac6c-8100-4777-98b8-174462751e27', 'publicationDate': '2022-12-15T08:37:21.524042876Z', 'illuminationElevationAngle': 55.39199850991306, 'productType': 'mono', 'expirationDate': '2032-12-12T08:37:05.685313374Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -36.32629243953263, 'illuminationAzimuthAngle': 153.67376414286528, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 46.31000788286934, 'incidenceAngle': 48.28002434036932, 'processingCenter': 'MOC', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",c51ff281-17e7-44f8-b490-cea857f8de7b,airbus,2022-09-15 01:38:05.107000+00:00,,,98.0,0.3,HOURS,1134000,48.28002434036932,8,690.9147446581096,"POLYGON ((139.9353236 35.78009991, 139.69718136 35.70880579, 139.69867591 35.4611624, 139.69874944 35.45980364, 139.69878961 35.42081352, 139.93376434 35.48719334, 139.93415739 35.52685642, 139.93416858 35.52839624, 139.9353236 35.78009991))",30
123,f807b7df-9cd8-480e-9742-b96bfe9d55a2,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202209010148263_FR1_PX_E139N35_1111_00596', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2022-09-01T16:37:48.429985574Z', 'processingDate': '2022-09-01T16:07:24.268Z', 'parentIdentifier': 'DS_PHR1A_202209010148263_FR1_PX_E139N35_1111_00596', 'azimuthAngle': 180.0347957917131, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '232c0dff-dce4-4183-92e0-81b682b5c841', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.43398542662508, 'lon': 139.87898899047516}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'c6c66943-72bd-4467-9bbf-986a992569cb', 'publicationDate': '2022-09-01T16:37:48.429985574Z', 'illuminationElevationAngle': 60.50976402507104, 'productType': 'mono', 'expirationDate': '2032-08-29T16:37:06.790186305Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -24.75442504792587, 'illuminationAzimuthAngle': 152.78256239433, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -6.251769617651345, 'incidenceAngle': 25.35790035664093, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202209010148263_FR1_PX_E139N35_1111_00596', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",f807b7df-9cd8-480e-9742-b96bfe9d55a2,airbus,2022-09-01 01:48:26.306000+00:00,,,88.87911375554192,0.5,HOURS,166540,25.35790035664093,9,168.33337580642836,"POLYGON ((139.74647649 35.40747185, 139.84215093 35.40472073, 140.01150149 35.3977259, 140.01144106 35.46121865, 139.90113312 35.46572173, 139.74673107 35.47011102, 139.74647649 35.40747185))",123
