image_id,geometry,id,constellation,collection,providerName,providerProperties,sceneId,producer,acquisitionDate,start_datetime,end_datetime,cloudCoverage,resolution,deliveryTime,cost,incidence_angle,image_id,area
0,"POLYGON ((140.29655809 35.46446163, 140.14332271 35.46265981, 140.14368944 35.12068846, 140.22481298 35.12182065, 140.36668278 35.12192505, 140.36713631 35.46437498, 140.29655809 35.46446163))",3b7a9e03-c203-409d-8ee6-1b7d3ac2bd8e,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202101130133283_FR1_PX_E140N35_0408_03316', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2023-03-28T18:33:03.959598589Z', 'processingDate': '2021-01-13T06:22:09.841Z', 'parentIdentifier': 'DS_PHR1A_202101130133283_FR1_PX_E140N35_0408_03316', 'azimuthAngle': 179.9965456687597, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'c9ceb8e0-d788-4e42-993d-34a8eb9b8610', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.29250491020182, 'lon': 140.25522951141897}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': '86797bbd-40a6-448e-c46e-6e756149530e', 'publicationDate': '2023-03-28T18:33:03.959598589Z', 'illuminationElevationAngle': 30.72057035552371, 'productType': 'mono', 'expirationDate': '2024-03-27T18:33:03.959603172Z', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -2.424523818331338, 'illuminationAzimuthAngle': 159.7522563934167, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 11.09331169901275, 'incidenceAngle': 11.34246839139473, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202101130133283_FR1_PX_E140N35_0408_03316', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",3b7a9e03-c203-409d-8ee6-1b7d3ac2bd8e,airbus,2021-01-13T01:33:28.306Z,,,0.0,0.5,HOURS,14890,11.34246839139473,0,771.4715476719455
1,"POLYGON ((139.623682 35.81652289, 139.62272917 35.61610408, 139.65627504 35.6119681, 139.76776104 35.59728167, 139.90791165 35.57722711, 139.90795572 35.5940128, 139.90729925 35.78103396, 139.76090097 35.80029773, 139.623682 35.81652289))",ebbc6934-7e7f-48c7-a420-6efc8dd02d21,phr,phr,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_PHR1A_202111120151418_FR1_PX_E139N35_1017_01654', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2023-02-09T17:05:50.212339541Z', 'processingDate': '2021-11-12T10:50:28.741Z', 'parentIdentifier': 'DS_PHR1A_202111120151418_FR1_PX_E139N35_1017_01654', 'azimuthAngle': 179.9548916413171, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '9e16dbb2-1f1b-4b38-9299-cee3ff744890', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.69689926362087, 'lon': 139.76534244426213}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'ff6eb239-4f90-4a7e-caf3-de68b81faa10', 'publicationDate': '2023-02-09T17:05:50.212339541Z', 'illuminationElevationAngle': 36.16305775586078, 'productType': 'mono', 'expirationDate': '2031-11-12T00:00:00+01:00', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': -25.78292409467212, 'illuminationAzimuthAngle': 169.9475486798718, 'format': 'image/tiff', 'incidenceAngleAlongTrack': -22.13882897222837, 'incidenceAngle': 32.27471948756732, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_PHR1A_202111120151418_FR1_PX_E139N35_1017_01654', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",ebbc6934-7e7f-48c7-a420-6efc8dd02d21,airbus,2021-11-12T01:51:41.806Z,,,0.0,0.5,HOURS,351460,32.27471948756732,1,577.2085572123847
2,"POLYGON ((139.78546681 36.11423433, 139.79846588 35.42776853, 139.79854054 35.42319728, 139.80461865 35.08527182, 140.6372119 34.99535547, 140.64262726 35.32843679, 140.64270943 35.33294064, 140.65400102 36.00886545, 139.78546681 36.11423433))",f8b15889-7921-443f-9199-3b5987c1da2f,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT6_202210210047262_FR1_FR1_SV1_SV1_E140N36_02926', 'acquisitionStation': 'SV1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2023-02-01T16:07:54.508861033Z', 'processingDate': '2022-10-21T04:15:11.532Z', 'parentIdentifier': 'DS_SPOT6_202210210047262_FR1_FR1_SV1_SV1_E140N36_02926', 'azimuthAngle': 180.04031978665705, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '585ed541-ce6f-4956-be15-9de579405100', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.5542719060091, 'lon': 140.21973391562165}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': '94216c04-9a42-4807-c8e7-7bbca2f7c556', 'publicationDate': '2023-02-01T16:07:54.508861033Z', 'illuminationElevationAngle': 38.92508543073712, 'productType': 'mono', 'expirationDate': '2032-10-21T00:00:00+02:00', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 28.447673408024663, 'illuminationAzimuthAngle': 148.92031265627512, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 19.535079741443617, 'incidenceAngle': 31.21521225059207, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT6_202210210047262_FR1_FR1_SV1_SV1_E140N36_02926', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",f8b15889-7921-443f-9199-3b5987c1da2f,airbus,2022-10-21T00:47:26.249Z,,,0.022965716646014045,1.5,HOURS,452136,31.21521225059207,2,8735.286445594927
3,"POLYGON ((139.7858319 36.07606665, 139.79690416 35.43564769, 139.79698662 35.4313722, 139.80354165 35.05404771, 140.63744007 35.0303312, 140.64302267 35.40491662, 140.64308026 35.40916065, 140.65319158 36.04450811, 139.7858319 36.07606665))",c895869d-c91c-467f-b37c-3e1663bbf520,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT6_202210210047020_FR1_NO1_FR1_FR1_E140N36_03089', 'acquisitionStation': 'FR1', 'archivingCenter': 'FR1', 'lastUpdateDate': '2023-02-01T16:07:52.490890171Z', 'processingDate': '2022-10-21T09:18:42.797Z', 'parentIdentifier': 'DS_SPOT6_202210210047020_FR1_NO1_FR1_FR1_E140N36_03089', 'azimuthAngle': 180.07873784459048, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '9b1ad5e2-5df9-4efd-82e8-3ff92fbad86c', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.55283849484459, 'lon': 140.21951174273562}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'ec57b93b-1066-4a7e-cae9-14648fdd7646', 'publicationDate': '2023-02-01T16:07:52.490890171Z', 'illuminationElevationAngle': 38.8807205729665, 'productType': 'mono', 'expirationDate': '2032-10-21T00:00:00+02:00', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 28.74030169413066, 'illuminationAzimuthAngle': 148.80721942238532, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 4.986337784471382, 'incidenceAngle': 28.930589204765614, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT6_202210210047020_FR1_NO1_FR1_FR1_E140N36_03089', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",c895869d-c91c-467f-b37c-3e1663bbf520,airbus,2022-10-21T00:47:01.999Z,,,0.0,1.5,HOURS,453603,28.930589204765614,3,8710.515979058435
4,"POLYGON ((139.7858319 36.07606665, 139.79690416 35.43564769, 139.79698662 35.4313722, 139.80354165 35.05404771, 140.63744007 35.0303312, 140.64302267 35.40491662, 140.64308026 35.40916065, 140.65319158 36.04450811, 139.7858319 36.07606665))",f79af994-8426-4d65-aef3-9560205a3b5a,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT6_202210210047020_NO1_NO1_FR1_FR1_E140N36_03089', 'acquisitionStation': 'FR1', 'archivingCenter': 'NO1', 'lastUpdateDate': '2023-02-01T16:07:51.452485847Z', 'processingDate': '2022-10-21T11:08:09.364Z', 'parentIdentifier': 'DS_SPOT6_202210210047020_NO1_NO1_FR1_FR1_E140N36_03089', 'azimuthAngle': 180.07873784459048, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'e83bffd9-6bd7-4d7b-9f13-868a660f8220', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.55283849484459, 'lon': 140.21951174273562}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'f1fecd16-225b-4ae3-ca04-1f53e736d87b', 'publicationDate': '2023-02-01T16:07:51.452485847Z', 'illuminationElevationAngle': 38.8807205729665, 'productType': 'mono', 'expirationDate': '2032-10-21T00:00:00+02:00', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 28.74030169413066, 'illuminationAzimuthAngle': 148.80721942238532, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 4.986337784471382, 'incidenceAngle': 28.930589204765614, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT6_202210210047020_NO1_NO1_FR1_FR1_E140N36_03089', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",f79af994-8426-4d65-aef3-9560205a3b5a,airbus,2022-10-21T00:47:01.999Z,,,0.0,1.5,HOURS,453603,28.930589204765614,4,8710.515979058435
5,"POLYGON ((139.78546681 36.11423433, 139.79846588 35.42776853, 139.79854054 35.42319728, 139.80461865 35.08527182, 140.6372119 34.99535547, 140.64262726 35.32843679, 140.64270943 35.33294064, 140.65400102 36.00886545, 139.78546681 36.11423433))",bc002dd2-1767-4a61-bde4-0c63fa16032a,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT6_202210210047262_JS3_JS3_JS2_JS2_E140N36_02926', 'acquisitionStation': 'JS2', 'archivingCenter': 'JS3', 'lastUpdateDate': '2023-02-01T16:07:49.477126131Z', 'processingDate': '2022-10-21T02:08:54.792Z', 'parentIdentifier': 'DS_SPOT6_202210210047262_JS3_JS3_JS2_JS2_E140N36_02926', 'azimuthAngle': 180.04031978665705, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'b109a074-8d5a-48bf-b35e-8739287de5ba', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.5542719060091, 'lon': 140.21973391562165}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': '6490846f-64a6-4286-c2a8-4b5f84df1775', 'publicationDate': '2023-02-01T16:07:49.477126131Z', 'illuminationElevationAngle': 38.92508543073712, 'productType': 'mono', 'expirationDate': '2032-10-21T00:00:00+02:00', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 28.447673408024663, 'illuminationAzimuthAngle': 148.92031265627512, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 19.535079741443617, 'incidenceAngle': 31.21521225059207, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT6_202210210047262_JS3_JS3_JS2_JS2_E140N36_02926', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",bc002dd2-1767-4a61-bde4-0c63fa16032a,airbus,2022-10-21T00:47:26.249Z,,,0.022965716646014045,1.5,HOURS,452136,31.21521225059207,5,8735.286445594927
6,"POLYGON ((139.7858319 36.07606665, 139.79690416 35.43564769, 139.79698662 35.4313722, 139.80354165 35.05404771, 140.63744007 35.0303312, 140.64302267 35.40491662, 140.64308026 35.40916065, 140.65319158 36.04450811, 139.7858319 36.07606665))",3ba8f72b-8d02-4b3f-b5d9-7b9f4a6b3004,spot,spot,oneatlas,"{'qualified': False, 'sourceIdentifier': 'DS_SPOT6_202210210047020_JS3_JS3_JS2_JS2_E140N36_03089', 'acquisitionStation': 'JS2', 'archivingCenter': 'JS3', 'lastUpdateDate': '2023-02-01T16:07:43.330957715Z', 'processingDate': '2022-10-21T02:08:55.608Z', 'parentIdentifier': 'DS_SPOT6_202210210047020_JS3_JS3_JS2_JS2_E140N36_03089', 'azimuthAngle': 180.07873784459048, 'title': '', 'workspaceTitle': 'Public', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '639ef7c6-3d6e-4012-b596-6d98885d50bf', 'processingLevel': 'ALBUM', 'acquisitionIdentifier': '', 'sensorType': 'OPTICAL', 'productionStatus': 'ARCHIVED', 'geometryCentroid': {'lat': 35.55283849484459, 'lon': 140.21951174273562}, 'processorName': 'MMCAT', 'workspaceName': 'public', 'correlationId': 'd61aad40-bb13-40b8-c02f-1a5bacd40d24', 'publicationDate': '2023-02-01T16:07:43.330957715Z', 'illuminationElevationAngle': 38.8807205729665, 'productType': 'mono', 'expirationDate': '2032-10-21T00:00:00+02:00', 'workspaceId': '0e33eb50-3404-48ad-b835-b0b4b72a5625', 'incidenceAngleAcrossTrack': 28.74030169413066, 'illuminationAzimuthAngle': 148.80721942238532, 'format': 'image/tiff', 'incidenceAngleAlongTrack': 4.986337784471382, 'incidenceAngle': 28.930589204765614, 'processingCenter': 'MOC', 'archiveIdentifier': 'DS_SPOT6_202210210047020_JS3_JS3_JS2_JS2_E140N36_03089', 'organisationName': 'AIRBUS DS GEO', 'snowCover': 0}",3ba8f72b-8d02-4b3f-b5d9-7b9f4a6b3004,airbus,2022-10-21T00:47:01.999Z,,,0.0,1.5,HOURS,453603,28.930589204765614,6,8710.515979058435
7,"POLYGON ((139.63623046 35.44816674, 139.45706644 35.43074835, 139.45748995 35.16770498, 139.63586824 35.18266934, 139.63623046 35.44816674))",76d32e4b-71f5-48fd-9103-b887fbaa17b4,pneo,pneo,oneatlas,"{'commercialReference': '000067000', 'qualified': False, 'lastUpdateDate': '2023-01-22T23:15:53Z', 'processingDate': '2023-01-22T21:16:19.862Z', 'azimuthAngle': 203.62511900854207, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '066b8051-47f4-44cf-9e19-e8cf4b34a6e5', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_02335105185169', 'customerReference': 'BP_PNEO_BO_OA_LL_World_73', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 35.30788786149736, 'lon': 139.5466484494993}, 'processorName': 'SPICYv1.2.7', 'workspaceName': 'public-pneo', 'correlationId': 'PWOI_000067000_9_1_I_1', 'publicationDate': '2023-01-22T23:09:35.554006385Z', 'illuminationElevationAngle': 29.902992474728986, 'productType': 'bundle', 'expirationDate': '2024-01-22T23:15:53Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -15.606972566915061, 'illuminationAzimuthAngle': 164.46852116291223, 'format': 'SAFIR', 'internalLine': '9_1', 'internalReference': 'SAL23057259', 'incidenceAngleAlongTrack': 27.316257117233445, 'incidenceAngle': 29.379477390410887, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",76d32e4b-71f5-48fd-9103-b887fbaa17b4,airbus,2022-12-15T01:37:28.474Z,,,0.0,0.36,MINUTES,37818,29.379477390410887,7,476.69852858153286
8,"POLYGON ((139.98234766 35.56192367, 139.98354469 35.30029042, 140.18127031 35.28635824, 140.18158357 35.54575363, 139.98234766 35.56192367))",2e17edb6-d19a-4771-bc6d-6cfbb0b0a15d,pneo,pneo,oneatlas,"{'commercialReference': '000065679', 'qualified': False, 'lastUpdateDate': '2023-01-15T22:07:41Z', 'processingDate': '2023-01-15T21:49:34.658Z', 'azimuthAngle': 112.69376980568144, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': '7e5aff41-f790-4deb-8307-457a82c4e534', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO3_02333605173053', 'customerReference': 'BP_PNEO_BO_OA_LL_World_71', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 35.42410330303687, 'lon': 140.0819656130006}, 'processorName': 'SPICYv1.2.7', 'workspaceName': 'public-pneo', 'correlationId': 'PWOI_000065679_3_1_I_1', 'publicationDate': '2023-01-15T22:00:52.443313181Z', 'illuminationElevationAngle': 28.839572396409384, 'productType': 'bundle', 'expirationDate': '2024-01-15T22:07:41Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': 28.513251931785828, 'illuminationAzimuthAngle': 160.2713442663848, 'format': 'SAFIR', 'internalLine': '3_1', 'internalReference': 'SAL23056048', 'incidenceAngleAlongTrack': 12.559133895978547, 'incidenceAngle': 29.702921882740817, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",2e17edb6-d19a-4771-bc6d-6cfbb0b0a15d,airbus,2022-12-14T01:18:20.842Z,,,0.8100761430256623,0.36,MINUTES,511740,29.702921882740817,8,520.9226223237354
9,"POLYGON ((140.0368315 35.90697151, 139.85942951 35.89690865, 139.85996972 35.63849556, 140.03631097 35.64744551, 140.0368315 35.90697151))",3c7de89e-c98b-4ae8-a816-e2da9e059cb9,pneo,pneo,oneatlas,"{'commercialReference': '000064011', 'qualified': False, 'lastUpdateDate': '2023-01-04T16:26:34Z', 'processingDate': '2023-01-04T16:09:00.873Z', 'azimuthAngle': 192.61917403766333, 'workspaceTitle': 'Workspace temporaire pour la data pneo', 'spectralRange': 'VISIBLE', 'productCategory': 'image', 'activityId': 'b68deb9a-3be8-4616-861d-6621a6329815', 'processingLevel': 'SENSOR', 'acquisitionIdentifier': 'ACQ_PNEO4_02304005089337', 'customerReference': 'BP_PNEO_BO_OA_LL_World_65', 'sensorType': 'OPTICAL', 'productionStatus': 'IN_CLOUD', 'geometryCentroid': {'lat': 35.772690566914655, 'lon': 139.94813050050098}, 'processorName': 'SPICYv1.2.7', 'workspaceName': 'public-pneo', 'correlationId': 'PWOI_000064011_7_1_I_1', 'publicationDate': '2023-01-04T16:19:55.352870872Z', 'illuminationElevationAngle': 30.267184165871875, 'productType': 'bundle', 'expirationDate': '2024-01-04T16:26:34Z', 'workspaceId': '3e88441b-adc9-4be6-bd80-59d4fb69d5a7', 'incidenceAngleAcrossTrack': -8.976561087234266, 'illuminationAzimuthAngle': 164.68200863471475, 'format': 'SAFIR', 'internalLine': '7_1', 'internalReference': 'SAL23054500', 'incidenceAngleAlongTrack': 28.862124870796848, 'incidenceAngle': 29.442721803753372, 'processingCenter': '', 'organisationName': '', 'contractId': 'CTR22000671'}",3c7de89e-c98b-4ae8-a816-e2da9e059cb9,airbus,2022-12-07T01:33:38.667Z,,,0.0,0.36,MINUTES,245790,29.442721803753372,9,459.5443298577615
